subject;label;tadirah.id;itemsWIKIDATA;WD_ID
https://vocabs.dariah.eu/tadirah/contentAnalysis;content analysis;contentAnalysis;content analysis;Q653137
https://vocabs.dariah.eu/tadirah/highlighting;highlighting;highlighting;emphasis;Q65044042
https://vocabs.dariah.eu/tadirah/principalComponentAnalysis;principalComponentAnalysis;principalComponentAnalysis;principal component analysis;Q2873
https://vocabs.dariah.eu/tadirah/patternRecognition;patternRecognition;patternRecognition;pattern recognition;Q378859
https://vocabs.dariah.eu/tadirah/enriching;enriching;enriching;enriching;Q123750937
https://vocabs.dariah.eu/tadirah/merging;merging;merging;connection;Q12819913
https://vocabs.dariah.eu/tadirah/audioAnnotation;audioAnnotation;audioAnnotation;audioAnnotation;Q123751124
https://vocabs.dariah.eu/tadirah/pseudoCoding;pseudocode;pseudoCoding;pseudocode;Q189224
https://vocabs.dariah.eu/tadirah/mapping;mapping;mapping;mapping;Q370502
https://vocabs.dariah.eu/tadirah/expressingOpinion;expressingOpinion;expressingOpinion;expressingOpinion;Q123751125
https://vocabs.dariah.eu/tadirah/videoConference;videoConference;videoConference;video conference;Q238354
https://vocabs.dariah.eu/tadirah/managing;managing;managing;control;Q29017603
https://vocabs.dariah.eu/tadirah/removing;removing;removing;removal;Q23009442
https://vocabs.dariah.eu/tadirah/defining;defining;defining;definition;Q101072
https://vocabs.dariah.eu/tadirah/coOccurrence;co-occurrence;coOccurrence;co-occurrence;Q1756768
https://vocabs.dariah.eu/tadirah/crowdsourcing;crowdsourcing;crowdsourcing;crowdsourcing;Q275969
https://vocabs.dariah.eu/tadirah/textMessaging;textMessaging;textMessaging;text messaging;Q17166101
https://vocabs.dariah.eu/tadirah/discourseAnalysis;discourseAnalysis;discourseAnalysis;discourse analysis;Q1129466
https://vocabs.dariah.eu/tadirah/collating;collation;collating;collation;Q65770408
https://vocabs.dariah.eu/tadirah/browsing;browsing;browsing;browsing;Q516508
https://vocabs.dariah.eu/tadirah/plotting;plotting;plotting;plotting;Q123751126
https://vocabs.dariah.eu/tadirah/comparing;comparing;comparing;comparative method;Q1624679
https://vocabs.dariah.eu/tadirah/structuralAnalysis;structuralAnalysis;structuralAnalysis;structuralAnalysis;Q123751127
https://vocabs.dariah.eu/tadirah/interpreting;Interpreting;interpreting;Interpreting;Q15756478
https://vocabs.dariah.eu/tadirah/gathering;gathering;gathering;gathering;Q123751128
https://vocabs.dariah.eu/tadirah/editing;editing;editing;editing;Q194105
https://vocabs.dariah.eu/tadirah/programming;computer programming;programming;computer programming;Q80006
https://vocabs.dariah.eu/tadirah/cataloging;cataloging;cataloging;cataloging;Q3535655
https://vocabs.dariah.eu/tadirah/preprocessing;preprocessing;preprocessing;Preprocessing;Q28838080
https://vocabs.dariah.eu/tadirah/upload;upload;upload;upload;Q7126699
https://vocabs.dariah.eu/tadirah/aggregating;aggregating;aggregating;aggregation;Q23007394
https://vocabs.dariah.eu/tadirah/visualAnnotation;visualAnnotation;visualAnnotation;visualAnnotation;Q123751129
https://vocabs.dariah.eu/tadirah/dataIngestion;dataIngestion;dataIngestion;ingest;Q116984851
https://vocabs.dariah.eu/tadirah/bitStreamPreservation;bitStreamPreservation;bitStreamPreservation;bitStreamPreservation;Q123751130
https://vocabs.dariah.eu/tadirah/segmenting;segmenting;segmenting;segmenting;Q123751131
https://vocabs.dariah.eu/tadirah/clusterAnalysis;clusterAnalysis;clusterAnalysis;cluster analysis;Q622825
https://vocabs.dariah.eu/tadirah/preservationMetadata;preservationMetadata;preservationMetadata;preservation metadata;Q7241044
https://vocabs.dariah.eu/tadirah/modifying;modifying;modifying;modification;Q109243379
https://vocabs.dariah.eu/tadirah/abstractThinking;abstractThinking;abstractThinking;abstract thinking;Q25501084
https://vocabs.dariah.eu/tadirah/organizing;organizing;organizing;arranging;Q36993249
https://vocabs.dariah.eu/tadirah/tweet;tweet;tweet;Twitter post;Q56119332
https://vocabs.dariah.eu/tadirah/lemmatizing;lemmatizing;lemmatizing;lemmatisation;Q2554325
https://vocabs.dariah.eu/tadirah/integrating;integrating;integrating;data integration;Q386824
https://vocabs.dariah.eu/tadirah/subtracting;subtracting;subtracting;subtracting;Q123750938
https://vocabs.dariah.eu/tadirah/blogging;blogging;blogging;blogging;Q21124681
https://vocabs.dariah.eu/tadirah/recording;recording;recording;recording;Q13557414
https://vocabs.dariah.eu/tadirah/namedEntityRecognition;namedEntityRecognition;namedEntityRecognition;named-entity recognition;Q403574
https://vocabs.dariah.eu/tadirah/discovering;discovering;discovering;discovery;Q12772819
https://vocabs.dariah.eu/tadirah/linkedOpenData;linkedOpenData;linkedOpenData;linked open data;Q18692990
https://vocabs.dariah.eu/tadirah/versioning;version control;versioning;version control;Q189439
https://vocabs.dariah.eu/tadirah/finding;finding;finding;Finding;Q28195064
https://vocabs.dariah.eu/tadirah/userGeneratedContent;userGeneratedContent;userGeneratedContent;user-generated content;Q579716
https://vocabs.dariah.eu/tadirah/naturalLanguageProcessing;naturalLanguageProcessing;naturalLanguageProcessing;natural language processing;Q30642
https://vocabs.dariah.eu/tadirah/theorizing;theorizing;theorizing;theorizing;Q123783453
https://vocabs.dariah.eu/tadirah/contextualizing;contextualizing;contextualizing;contextualizing;Q123783454
https://vocabs.dariah.eu/tadirah/tagging;tagging;tagging;tagging;Q43401994
https://vocabs.dariah.eu/tadirah/informationRetrieval;informationRetrieval;informationRetrieval;information retrieval;Q816826
https://vocabs.dariah.eu/tadirah/namingConvention;namingConvention;namingConvention;naming convention;Q461984
https://vocabs.dariah.eu/tadirah/dataRecognition;dataRecognition;dataRecognition;dataRecognition;Q123783455
https://vocabs.dariah.eu/tadirah/dataMining;dataMining;dataMining;data mining;Q172491
https://vocabs.dariah.eu/tadirah/reasoning;reasoning;reasoning;reasoning;Q1156402
https://vocabs.dariah.eu/tadirah/speechRecognizing;speechRecognizing;speechRecognizing;speech recognition;Q189436
https://vocabs.dariah.eu/tadirah/discussing;discussing;discussing;discussion;Q3030248
https://vocabs.dariah.eu/tadirah/sharing;sharing;sharing;sharing;Q459221
https://vocabs.dariah.eu/tadirah/authorshipAttribution;authorshipAttribution;authorshipAttribution;attribution;Q2132119
https://vocabs.dariah.eu/tadirah/stylometry;stylometry;stylometry;stylometry;Q2032038
https://vocabs.dariah.eu/tadirah/communicating;communicating;communicating;communication;Q11024
https://vocabs.dariah.eu/tadirah/encoding;encoding;encoding;encoding;Q5375490
https://vocabs.dariah.eu/tadirah/spatialAnalysis;spatial analysis;spatialAnalysis;spatial analysis;Q1938983
https://vocabs.dariah.eu/tadirah/mindMapping;mindMapping;mindMapping;mind map;Q192833
https://vocabs.dariah.eu/tadirah/imaging;imaging;imaging;imaging;Q12713609
https://vocabs.dariah.eu/tadirah/visualAnalysis;visualAnalysis;visualAnalysis;visual analysis;Q95832426
https://vocabs.dariah.eu/tadirah/videoCapture;videoCapture;videoCapture;video capture;Q2778015
https://vocabs.dariah.eu/tadirah/concordance;concordance;concordance;concordance;Q839018
https://vocabs.dariah.eu/tadirah/posting;posting;posting;posting;Q1453674
https://vocabs.dariah.eu/tadirah/compiling;compiling;compiling;compilation;Q56248166
