"id","title","antragsteller","antragstellerId","fachlicheZuordnung","dates","projektText","dfgVerfahren","onset","terminus"
100083012,"Erfassung und Analyse syntaktischer und semantischer Eigenschaften von Präposition-Substantiv-Sequenzen unter Verwendung computerlinguistischer Analyseverfahren","Professor Dr. Tibor Kiss","1706869","Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen","Förderung von 2008 bis 2015","Nicht-kanonische Kombinationen aus einer Präposition und einem zählbaren Substantiv im Singular wurden bislang in der Syntaxforschung und der Computerlinguistik nur in Teilbereichen beachtet und häufig als nicht regelhaft charakterisiert. Sie verstoßen gegen die universelle Tendenz der geforderten Artikelrealisation bei zählbaren Substantiven im Singular, sind aber dennoch kompositionell und empirisch produktiv. Das vorliegende Vorhaben widmet sich der Grammatik dieser Konstruktionen. Umfangreiche Korpusdaten werden hierzu automatisch und händisch annotiert, im Vordergrund stehen morphologische, syntaktische und semantische Faktoren der nicht-kanonischen Kombinationen und der regulären Präpositional- und Nominalphrasen. Die Daten werden unter Verwendung von Verfahren des Annotation Mining strukturiert und analysiert. Da das Verfahren voraussetzt, dass eine Vielzahl linguistischer Eigenschaften zunächst annotiert wird, für die hier relevanten Faktoren aber nicht in jedem Fall ein Annotationsschema vorliegt, ist die Definition solcher Schemata erforderlich. Die Ergebnisse dieser Untersuchung werden nicht nur in einer für die Grammatikschreibung und die Computerlinguistik nutzbaren Analyse nicht-kanonischer Präpositionalkombinationen liegen, sondern darüber hinaus elektronische Ressourcen bereitstellen, die bislang für das Deutsche nicht vorliegen, insbesondere für die Zählbarkeitspräferenzen der Substantive.","Sachbeihilfen",2008,2015
100574211,"Die Liturgiereform und ihr theologischer Rezeptionsprozess: Zur ortskirchlichen Wirkungsgeschichte des II. Vatikanischen Konzils","Professor Dr. Martin Stuflesser","1677354","Katholische Theologie","Förderung von 2008 bis 2013","Fast 45 Jahre nach der Promulgation der Liturgiekonstitution Sacrosanctum Concilium durch das II. Vatikanische Konzil am 4. Dezember 1963 und nach einer fast ebenso langen Zeit der Durchführung der nachkonziliaren liturgischen Reformen untersucht das Forschungsprojekt die theologische Rezeption dieser letzten Liturgiereform in der römischkatholischen Kirche. Anhand der Untersuchung der Umsetzung der Liturgiereform in konkreten Ortskirchen leistet das Forschungsprojekt einen konkreten Teilbeitrag zur zeitgeschichtlichen Erforschung dieser Rezeptionsvorgänge, um so einen Bausein für eine bislang noch fehlende wissenschaftliche Gesamtdarstellung zu liefern. Das Formalobjekt wird sein, zu untersuchen, wie die liturgietheologischen Grundaussagen, die das Konzil in der Liturgiekonstitution, den nachkonziliaren liturgischen Richtlinien und in den erneuerten liturgischen Büchern vorgibt, praktisch umgesetzt werden. Das Materialobjekt ist hierbei der konkrete Gottesdienst in den Gemeinden nach dem II. Vatikanischen Konzil. Hierbei erscheint es lohnend, den Blick über das deutsche Sprachgebiet auszuweiten und das gottesdienstliche Leben konkreter Ortskirchen in Deutschland zu vergleichen mit dem gottesdienstlichen Leben anderer Ortskirchen, näher hin in den Diözesen Boston (USA) und Paris (Frankreich). Die Untersuchung dieses gottesdienstlichen Lebens umfasst dabei zum einen den gefeierten Gottesdienst selbst, darüber hinaus aber auch Fragen wie die Organisation und Konzeption liturgischer Fort- und Weiterbildung (und dabei auch das Vorhandensein von Publikationen zur theologischen Erschließung der Liturgie) sowie Fragen des Kirchbaus oder der Kirchenmusik.","Sachbeihilfen",2008,2013
100574680,"Aufbau einer verteilten virtuellen Forschungs- und Kommunikationsumgebung für den Bilddiskurs in der Kunstgeschichte","Professor Dr. Horst Bredekamp; Dr. Lisa Dieckmann; Professor Dr. Martin Warnke","1016361","Kunstgeschichte","Förderung von 2009 bis 2015","Ziel des Projekts ist es, eine netzbasierte und kollaborative Forschungsumgebung für den Bilddiskurs in der Kunstgeschichte zur Verfügung zu stellen.Dazu wurde das Bild-Annotations- und -Verlinkungsmedium HyperImage in das verteilte digitale Bildarchiv prometheus integriert. Zum einen wurde mit Meta-Image eine innovative Umgebung aufgebaut, in der bildorientiert kollaborativ an beliebigen Bildausschnitten gearbeitet werden kann, zum anderen werden die digitalen Sammlungen durch die freigegebenen Meta-Informationen weiter angereichert. Wir glauben, sagen zu können, dass alle für die ersten beiden Jahre formulierten Ziele erreicht wurden. Daraus ergeben sich die Möglichkeiten für ein drittes Jahr Meta-Image:Neben der Optimierung der Software soll ein Roundtable mit allen großen kunsthistorischen Bildarchiven eine Zusammenarbeit ausloten und inhaltliche, juristische und institutionelle Fragen diskutieren. Da die Bildbestände von prometheus nicht vollständig sein können, soll die Möglichkeit des individuellen Hochladens eigener Bilder in Meta-Image-Projekte innerhalb von prometheus eröffnet werden. Neben den aus den Projekten sich ergebenden Bildnetzen, die auch im „Kunstgeschichte Open Peer Reviewed Journal“ als Meta-Image-Projekte publizierbar werden sollen, soll die Analyse der bildhaften Verweisstrukturen innerhalb der Bildnetze und zwischen den Wissenschaftlerinnen und Wissenschaftlern in netzwerktheoretischer Hinsicht vorbereitet werden, um mithilfe von in der Kunstgeschichte bislang noch nicht genutzten methodischen Vorgehensweisen zu neuen Einsichten zu gelangen.","Forschungsdaten und Software (Wiss. Literaturversorgung und Informationssysteme)",2009,2015
100664496,"Erschließung der Bibliothek Paul Celan","Neuere deutsche Literatur",NA,"Neuere deutsche Literatur","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 100664496","Ziel des Projekts sind die Formalerschließung der Bibliothek Paul Celan im Online-Katalog des Deutschen Literaturarchivs Marbachs sowie ein virtueller Katalog seines Buchbesitzes der durch den Nachweis von Bänden auch an weiteren Standorten ermöglicht wird. Damit liegt erstmals eine Rekonstruktion der ursprünglichen Bibliothek Paul Celan vor. Das Forschungsinteresse an der Bibliothek Paul Celan, deren Bedeutung für dessen Oeuvre hoch angesetzt wird, ist ungebrochen groß. Die Celan-Philologie hat wiederholt auf die besondere Relevanz des Buchbestandes und der Lektüre-Spuren für den Nachvollzug der Werkgenese hingewiesen; laufende Editionsprojekte sind auf die Erschließung der Bibliothek angewiesen. Von zentraler Bedeutung ist zum einen die umfassende Katalogisierung des Marbacher Druckschriftenbestands. Neben Monographien müssen auch heterogene Dokumenttypen wie Beiträge in Zeitschriften und Sammelwerken, Sonderdrucke und Zeitungsausschnitte erschlossen werden. Nur auf diese Weise wird der Bestand aussagekräftig und für die Forschung nachvollziehbar dokumentiert.Zugleich erfolgt die Ermittlung, Dokumentation und Rekonstruktion des nachweisbaren Bestands der Bibliothek Paul Celan, der über die in Marbach verfügbare Sammlung hinausgeht. Im Zuge der Formalerschließung wird durch Abgleich am Bonner Katalog, einem ersten handschriftlichen Verzeichnis der Bibliothek, der Celansche Buchbesitz rekonstruiert. So entsteht als online verfugbares Modul des Marbacher Celan-Informationssystems eine virtuelle Bibliothek Paul Celan und damit ein verlässlicher und ausbaufähiger Katalog.","Digitalisierung und Erschließung (Wiss. Literaturversorgung und Informationssysteme)",1006,4496
100738153,"Russisches Regionales Korpus - eine akustische Datenbank mit diskursorientierter Annotation","Professorin Dr. Katrin Brabender; Professor Dr. Christian Sappok","100758587","Einzelsprachwissenschaften","Förderung von 2009 bis 2015","Grundlage der Projektarbeit ist ein umfangreiches Korpus von 1000 Stunden Lautaufnahmen, die auf 30 Expeditionen (1991-2007) in 19 Regionen des russischen Sprachgebietes gewonnen wurden. Dieses Korpus wird zu einer Online-Datenbank verarbeitet und über ein renommiertes Slavistikportal der wissenschaftlichen Öffentlichkeit zur Verfügung gestellt. Diese einzigartige Sammlung von unterschiedlichen regionalen Ausprägungen des Russischen bietet für viele Dialekte den letzten Beleg. Das gesamte Material wird der wissenschaftlichen Öffentlichkeit zugänglich gemacht. Mit der Publikation des Materials wird ein dringendes Desiderat der aktuellen russistischen Linguistik eingelöst, es wird aber auch eine neue Grundlage für kulturwissenschaftliche Forschungen (z.B. zur oral history) geschaffen. Der Weg vom Korpus zur Datenbank RuReK verläuft in zwei Phasen: (a) RuReK-1: Segmentation, Protokollierung und Annotation des Materials mit sozialen, sprachlichen und diskursiven Attributen; dies ist die Arbeit des Linguistischen Laboratoriums der RUB. Dazu gehört auch eine wissenschaftliche Musteranalyse, die das Annotationssystem in einem aktuellen Forschungsgebiet (Interaktion von Partikeln und Intonation) zur Anwendung bringt. (b) RuReK-2: Zusammenführung der Lautdaten und Metadaten in eine Online-Datenbank. Diese Arbeit wird von der FH Bochum ausgeführt, das Ergebnis wird in das Slavistikportal der Staatsbibliothek zu Berlin aufgenommen, von wo aus auch die Nutzung der Datenbank betreut wird.","Sachbeihilfen",2009,2015
100861517,"Sanskrit-Primärquellen zur mittelalterlichen Geschichte und zur Islamisierung Kaschmirs, AD 1150-1472 (Kritische Edition und Übersetzung)","Professor Dr. Walter Slaje","1595894","Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","Förderung von 2008 bis 2010","Kalhanas Bedeutung als indischer Geschichtsschreiber ist unumstritten. Aufgrund der vorbildlichen Edition und Übersetzung seiner Rājataranginī durch M.A. Stein hat die Forschung sich ausschließlich auf sein im 12. Jh. verfasstes Werk konzentriert. Kalhanas kaschmirische Fortsetzer fanden keine wissenschaftlichen Bearbeiter mehr und entschwanden allmählich vom Wissenshorizont der Fachwissenschaft bis zum (auch bibliographisch) völligen Vergessen. Von diesen Fortsetzern sind zunächst Jonarāja und sein Schüler Śrīvara von erstrangiger Bedeutung, da sie den Übergang vom Hindu-Königtum zum muslimischen Šāh Mīr Sultanat (ab AD 1339) und die dadurch ausgelösten religionspolitischen Erschütterungen äußerst detailreich und unter erkennbarer Bemühung um historische Kontextualisierung beschreiben: Politische Veränderungen, kultureller Wandel, technologische Innovationen, realienkundliche, literaturgeschichtliche, religions-, gesellschafts- und wirtschaftspolitische Einzelheiten sowie Einblicke in das höfische Leben. Die Autoren liefern Charakterbilder der Herrscher, enthalten sich aber subjektiv-ethischer Wertungen. Ihre Datierungen und die verwendete Toponymie sind in aller Regel konvertierbar und identifizierbar. Für diese Epochen gibt es keine islamischen Quellen zur Geschichte Kaschmirs, die unabhängig von diesen Rājataranginīs entstanden wären. Alle erhaltenen persischen Quellen gehen auf Übersetzungen dieser wissenschaftlich vernachlässigten Textkategorie zurück. Ziel des Vorhabens ist, die sanskritischen Primärquellen (Jonarājas Rājataranginī & Śrīvaras Zayna-Taranginī) der Forschung zugänglich zu machen durch eine kritische Neu-Edition begleitet von einer annotierten philologischen Übersetzung, erschlossen durch Namens- und Ortsregister.","Sachbeihilfen",2008,2010
100943510,"Pflege der zwischen den Kunstbibliotheken vereinbarten Sammelschwerpunkte","Kunstgeschichte",NA,"Kunstgeschichte","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 100943510","Der Antrag gehört in das Förderprogramm: \"Überregionale Literaturversorgung\". In diesem Programm unterstützt die Deutsche Forschungsgemeinschaft das System der Sondersammelgebiete (SSG) an wissenschaftlichen Bibliotheken in Deutschland. Die beteiligten Bibliotheken erwerben nach einer festgelegten Verteilung der fachlichen Zuständigkeiten in- und ausländische wissenschaftliche Publikationen aus allen Disziplinen. Ziel der kooperativen Erwerbung ist es, dass jedes wissenschaftlich relevante Werk wenigstens einmal in Deutschland vorhanden ist, erschlossen wird und auch langfristig überregional bereitgestellt werden kann. Das SSG-System umfasst heute insgesamt 110 fachlich und regional definierte Sammelschwerpunkte, die an 36 Bibliotheken betreut werden (http://webis.sub.uni-hamburg.de). Von der DFG erhalten 27 Bibliotheken (mit 85 Sammelschwerpunkten, Stand 2012) eine laufende Förderung aus dem Programm „Überregionale Literaturversorgung\". Aus diesen Mitteln werden 75 Prozent der Ausgaben für ausländische Veröffentlichungen finanziert. Alle übrigen Kosten - u. a. für die Erwerbung deutscher Veröffentlichungen des jeweiligen Sammelschwerpunktes und für den Personalaufwand -tragen die Bibliotheken selbst.","Informationsversorgung und FID (Wiss. Literaturversorgung und Informationssysteme)",1009,3510
101004928,"Archäologische und archäometrische Untersuchungen in Südostanatolien in Bezug auf den Ursprung der Träger der Metallischen Ware","Professor Dr. Jan-Waalke Meyer","1657050","Ägyptische und Vorderasiatische Altertumswissenschaften","Förderung von 2009 bis 2014","Das Ziel des Projektes ist es, dem Ursprung einer sich in der ersten Hälfte des dritten Jahrtausends v. Chr. (Frühbronzezeit II) in Nordostsyrien weiträumig ansiedelnden Bevölkerungsgruppe nachzugehen, als deren typische kulturelle Merkmale strukturierte Anlage so genannter „Kranzhügelsiedlungen und zwei z. T. miteinander vergesellschaftete charakteristische Keramikwaren, die nordmesopotamische Metallische Ware und die Combed Wash Ware, gelten können. Da aber aus archäometrischen Untersuchungen bekannt ist, dass der weitaus größte Teil der Metallische Ware aufgrund des sehr niedrigen Kalkgehaltes nicht aus ihrem Hauptverbreitungsgebiet, der syrischen Gazira, stammen kann, stellt sich nicht nur die Frage nach dem Ursprung der Ware, sondern auch nach dem Ursprung der sie tragenden kulturellen Gruppe. Ein erster Hinweis ergab sich unlängst mit einer Tonprobe aus dem Pütürge-Massiv südöstlich von Malatya in Südostanatolien, die sich der Metallischen Ware entsprechend als ungewöhnlich kalkarm erwies. Mit archäologischen Untersuchungen und naturwissenschaftlichen Analysen von Metallischer Ware, Combed Wash Ware und Bodenproben, soll der Weg der postulierten Einwanderung der „Kranzhügel- Kultur nach Südostanatolien und Nordostsyrien sowie deren mögliche Herkunft und kulturelle Identität nachvollzogen werden.","Sachbeihilfen",2009,2014
101025631,"Pflege der zwischen den Kunstbibliotheken vereinbarten Sammelschwerpunkte","Kunstgeschichte",NA,"Kunstgeschichte","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 101025631","Keine Zusammenfassung vorhanden","Informationsversorgung und FID (Wiss. Literaturversorgung und Informationssysteme)",1010,5631
101086580,"Tiere im Film - eine Menschheitsgeschichte","Professor Dr. Olaf Stieglitz","1664029","Theater- und Medienwissenschaften","Förderung von 2008 bis 2010","Die interdisziplinäre und internationale Fachkonferenz „Tiere im Film, eine Menschheitsgeschichte\" hat erstmals im deutschsprachigen Raum Medien- und Geschichtswissenschaftler zusammen gebracht, um sich gemeinsam mit der erst in Ansätzen erforschten Geschichte der Tier-Mensch-Beziehung in der Moderne anhand von Filmquellen zu beschäftigen. Angesichts des großen Erfolgs der Tagung in inhaltlicher und methodischer Hinsicht wie auch aufgrund der überaus positiven Publikums- und Medienresonanz sowie der zahlreichen und bis heute andauernden Anfragen bezüglich einer Veröffentlichung der Tagungsbeiträge erscheint die Publikation der innovativen und herkömmliche Disziplinengrenzen überschreitenden Beiträge in jedem Falle wünschenswert. Der Sammelband würde für den deutschsprachigen Raum ein bisher nicht bearbeitetes Forschungsfeld der Öffentlichkeit erstmals vorstellen, würde in seiner spezifischen Kopplung historischer und medienwissenschaftlicher Fragestellungen aber auch in der internationalen Forschungslandschaft ein Novum darstellen.Als Publikationsort kämen der kultur- und insbesondere medien- und filmwissenschaftlich profilierte transcript-Verlag in Bielefeld wie der auf dem Gebiet der Kulturgeschichte einschlägige Böhlau-Verlag in Köln in Frage. Bei Böhlau ist die Aufnahme des Bands in die Reihe „Kölner Historische Abhandlungen\" gesichert.","Publikationsbeihilfen",2008,2010
