"id","department","institution"
"2","","930"
"3","Philosophy and Humanities Computing","893"
"4","Communication Studies and Multimedia","893"
"5","","448"
"6","Department of Languages, Literatures & Cultures","893"
"7","","447"
"8","School of Library, Archive and Information Studies","884"
"9","Centre for Digital Humanities","884"
"10","Department of Information Studies","884"
"11","","893"
"12","","774"
"13","","519"
"16","Centre for Communication Studies","473"
"17","","920"
"19","","1080"
"20","","1178"
"21","Digital Studio for Public Humanities","977"
"22","","534"
"23","Center for the Study of Digital Libraries","728"
"25","","728"
"26","","77"
"27","","1010"
"29","Graduate School of Library and Information Science (GSLIS)","974"
"30","National Center for Supercomputing Applications (NCSA)","974"
"31","","974"
"33","","203"
"36","","1242"
"38","Littérature française","865"
"39","ALITHILA","880"
"40","","384"
"44","","762"
"45","","637"
"49","","563"
"50","","907"
"51","","444"
"52","","806"
"55","","1207"
"56","Department of Computational Linguistics and Text-technology","405"
"58","School of Library, Archive and Information Studies","1077"
"60","Department of Information Studies","1077"
"62","","1074"
"63","","155"
"64","","977"
"67","Ligatus Research Centre","1105"
"68","","585"
"69","","597"
"70","","1502"
"71","Maryland Institute for Technology and Humanities (MITH)","1010"
"72","","984"
"73","Electronic Textual Cultures Lab","1120"
"74","Electronic Textual Cultures Lab","1209"
"75","Dept of English","1209"
"76","","1120"
"77","","361"
"78","","353"
"79","","1237"
"80","","1108"
"81","","1058"
"82","","927"
"83","Archaeology","1463"
"84","Arts eResearch,","1463"
"85","","17"
"86","","1201"
"87","","1145"
"88","","915"
"90","","1109"
"91","","133"
"92","","1129"
"94","","248"
"95","English Dept","728"
"96","","1122"
"98","","604"
"99","","308"
"100","","1138"
"103","","1214"
"104","","896"
"105","The CulturePlex Laboratory","1175"
"106","","589"
"107","","827"
"108","","1064"
"110","","411"
"111","","111"
"112","","418"
"113","","645"
"114","","177"
"115","","210"
"116","","459"
"117","MATRIX: The Center for Humane Arts, Letters, and Social Sciences Online","459"
"118","Libraries","1216"
"119","","652"
"120","","694"
"121","Institut für Deutsche Philologie","827"
"122","","718"
"123","Women Writers Project","85"
"125","","96"
"126","","324"
"128","","23"
"129","","323"
"130","School of Information","1576"
"131","","732"
"132","","164"
"133","","475"
"134","","648"
"136","","64"
"140","","60"
"141","","12"
"142","","540"
"143","","168"
"144","","1014"
"145","","32"
"148","","100"
"149","UCL Interaction Centre","884"
"150","English and Humanities Computing","1228"
"151","","916"
"152","","14"
"154","Scholarly Communication Institute","1122"
"155","","84"
"156","","823"
"157","Trier Center for Digital Humanities (Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften)","823"
"158","","61"
"159","","1171"
"160","","251"
"161","","1035"
"162","Department of Digital Humanities","384"
"163","","1248"
"165","","684"
"166","","414"
"167","","467"
"168","","981"
"169","","7"
"170","","1048"
"171","Department of Electrical and Information Engineering","1048"
"172","","979"
"174","Institute for Textual Scholarship","1074"
"178","","1118"
"179","","587"
"180","","317"
"181","Humanities Computing & Media Centre","1120"
"182","Department of English","1120"
"183","","1177"
"184","","85"
"186","","513"
"187","Dept. Dutch Linguistics and Literary Studies","895"
