"id","authorship","affiliation"
"11","9","400"
"12","10","400"
"13","11","392"
"14","12","392"
"20","15","1340"
"24","18","1341"
"25","19","96"
"26","20","96"
"27","21","96"
"28","22","96"
"29","23","11"
"30","24","11"
"31","25","11"
"42","32","1334"
"45","35","1343"
"46","36","341"
"49","38","1344"
"50","39","1344"
"58","45","1345"
"59","46","1346"
"60","47","1346"
"61","48","1346"
"62","49","50"
"63","50","50"
"90","70","392"
"91","71","1348"
"93","73","575"
"98","78","1342"
"99","79","22"
"100","80","99"
"101","81","151"
"104","84","800"
"105","85","1350"
"106","86","755"
"108","88","400"
"117","97","705"
"119","99","557"
"121","101","515"
"145","117","1356"
"146","118","1356"
"147","119","1356"
"148","120","1356"
"160","128","400"
"161","129","400"
"162","130","400"
"164","132","1357"
"165","133","392"
"166","134","392"
"167","135","1199"
"168","136","1358"
"170","138","738"
"187","148","1361"
"188","149","362"
"191","151","1362"
"192","152","481"
"193","153","400"
"196","156","400"
"197","157","1363"
"198","158","557"
"218","172","400"
"223","177","400"
"224","178","1365"
"227","181","22"
"228","182","22"
"229","183","22"
"240","194","1367"
"242","196","1096"
"243","197","1368"
"249","201","96"
"251","203","736"
"253","204","91"
"254","204","220"
"255","205","64"
"256","206","96"
"259","209","755"
"260","210","377"
"261","210","378"
"262","211","614"
"263","211","615"
"264","212","1290"
"265","213","229"
"266","214","381"
"267","215","727"
"269","216","602"
"270","217","1291"
"274","221","1293"
"276","223","483"
"277","224","803"
"278","225","803"
"279","226","400"
"280","227","11"
"281","227","150"
"282","228","184"
"283","228","576"
"284","229","11"
"285","230","11"
"286","230","740"
"287","231","11"
"288","232","11"
"289","233","11"
"290","234","11"
"291","235","1294"
"292","236","40"
"294","237","117"
"295","238","117"
"296","239","117"
"297","240","120"
"298","241","321"
"300","241","323"
"301","242","184"
"302","242","576"
"303","243","736"
"305","244","8"
"306","245","1295"
"309","246","44"
"310","246","45"
"312","247","253"
"314","247","255"
"315","248","603"
"319","251","1297"
"320","252","665"
"321","253","1298"
"322","254","62"
"323","254","63"
"324","255","174"
"325","255","63"
"326","256","1299"
"327","257","1299"
"328","258","1300"
"329","259","1299"
"330","260","673"
"331","261","1301"
"332","262","1301"
"333","263","5"
"335","265","1303"
"336","266","62"
"337","267","62"
"339","268","284"
"340","269","71"
"341","270","801"
"342","271","801"
"343","272","541"
"344","273","665"
"346","275","1304"
"347","276","1304"
"348","277","1285"
"349","277","1286"
"350","278","1285"
"351","278","1286"
"352","279","1285"
"353","280","72"
"354","280","71"
"355","281","854"
"356","282","72"
"357","282","31"
"358","283","184"
"359","284","1305"
"360","285","1306"
"361","286","51"
"362","287","633"
"363","288","633"
"364","289","1307"
"365","290","1308"
"366","291","1309"
"367","292","22"
"368","292","1310"
"369","293","321"
"371","293","323"
"372","294","618"
"373","295","803"
"374","296","1311"
"375","297","786"
"376","298","184"
"378","299","5"
"379","299","6"
"380","299","7"
"381","300","1312"
"382","301","360"
"383","302","1309"
"386","305","1314"
"387","306","1314"
"388","307","22"
"389","308","666"
"390","309","96"
"392","311","96"
"394","311","405"
"395","312","603"
"396","313","233"
"397","314","493"
"398","315","832"
"399","316","1315"
"400","317","1316"
"403","320","62"
"404","320","63"
"405","321","174"
"406","321","63"
"407","322","1299"
"408","323","1299"
"409","324","1300"
"410","325","1299"
"411","326","8"
"412","326","9"
"413","326","10"
"414","327","301"
"415","328","1318"
"416","329","1318"
"417","330","803"
"418","331","1319"
"419","332","1319"
"420","333","1319"
"424","337","1320"
"425","338","1320"
"426","339","1321"
"428","341","1323"
"429","341","1324"
"430","342","1325"
"431","343","1323"
"432","343","1324"
"433","344","3"
"434","344","4"
"435","344","5"
"436","345","72"
"437","345","71"
"438","346","123"
"439","347","274"
"440","347","275"
"441","348","614"
"442","348","615"
"444","350","1326"
"445","351","1326"
"446","352","1327"
"447","353","1328"
"448","354","1329"
"449","354","1330"
"450","355","22"
"453","358","1332"
"454","358","1333"
"455","359","1332"
"456","359","1333"
"457","360","233"
"458","361","234"
"464","364","1335"
"465","365","736"
"468","367","184"
"469","368","1315"
"470","369","385"
"471","369","467"
"472","370","377"
"473","370","378"
"476","373","1336"
"478","375","736"
"480","376","184"
"481","376","296"
"482","376","40"
"483","377","74"
"484","377","75"
"485","377","76"
"486","378","234"
"487","379","1271"
"488","380","234"
"489","380","1271"
"491","381","631"
"492","382","68"
"493","382","69"
"494","382","70"
"495","383","70"
"496","384","1338"
"497","385","385"
"498","386","1339"
"499","387","1339"
"500","388","1339"
"501","389","338"
"502","389","205"
"503","390","2"
"504","391","156"
"505","392","1257"
"513","398","742"
"514","399","936"
"515","400","1258"
"521","404","1259"
"522","405","1260"
"523","406","1260"
"524","407","107"
"525","408","1261"
"526","409","320"
"527","410","22"
"528","411","476"
"529","412","1262"
"530","413","26"
"531","413","27"
"534","414","44"
"535","414","45"
"536","415","251"
"537","415","71"
"538","416","755"
"539","417","72"
"540","417","31"
"542","419","44"
"543","419","1263"
"549","424","400"
"550","425","234"
"554","428","737"
"555","429","737"
"556","430","737"
"557","431","944"
"558","432","1167"
"559","433","1167"
"566","439","385"
"567","439","467"
"568","440","96"
"569","441","1029"
"570","442","1268"
"571","443","1261"
"572","444","1269"
"574","446","1270"
"575","447","1270"
"576","448","803"
"577","449","1271"
"578","450","1271"
"579","451","1272"
"580","452","2"
"581","453","29"
"582","454","1273"
"592","460","1274"
"593","461","1274"
"594","462","1274"
"595","463","1274"
"596","464","1275"
"597","465","1274"
"599","467","274"
"600","467","275"
"603","469","1276"
"604","470","1276"
"605","471","1276"
"615","475","107"
"616","476","320"
"627","486","738"
"633","489","933"
"634","490","934"
"643","496","1280"
"644","497","223"
"646","498","3"
"647","498","4"
"648","498","5"
"649","499","5"
"650","499","6"
"651","499","7"
"652","500","162"
"653","501","96"
"655","501","405"
"656","502","786"
"683","519","1284"
"684","520","1285"
"685","520","1286"
"688","523","29"
"690","525","1272"
"692","526","122"
"693","527","156"
"700","533","316"
"702","534","405"
"704","535","1288"
"706","536","1289"
"707","537","392"
"708","538","735"
"711","541","476"
"715","545","405"
"716","546","735"
"729","558","288"
"730","558","697"
"731","559","966"
"732","560","967"
"733","561","967"
"734","562","967"
"735","563","967"
"736","564","967"
"737","565","967"
"738","566","967"
"739","567","967"
"740","568","967"
"741","569","967"
"742","570","144"
"743","571","922"
"744","572","968"
"746","574","62"
"747","574","63"
"748","575","108"
"750","577","971"
"751","578","971"
"757","581","184"
"765","586","162"
"766","587","40"
"769","590","742"
"779","599","879"
"780","600","879"
"781","601","879"
"784","603","11"
"785","603","150"
"786","604","11"
"787","605","11"
"788","605","740"
"789","606","11"
"790","607","11"
"791","608","184"
"792","608","721"
"793","609","184"
"794","610","33"
"795","611","33"
"797","613","3"
"798","613","4"
"799","613","5"
"800","614","5"
"801","614","6"
"802","614","7"
"803","615","5"
"804","616","973"
"805","617","974"
"806","618","930"
"807","619","930"
"808","620","930"
"809","621","405"
"810","622","405"
"811","623","930"
"812","624","405"
"813","625","11"
"814","625","150"
"815","626","40"
"817","627","274"
"818","627","275"
"819","628","218"
"820","628","746"
"821","629","184"
"822","629","975"
"824","631","979"
"833","640","980"
"838","644","22"
"843","649","981"
"844","650","74"
"845","650","75"
"846","650","76"
"847","651","917"
"848","652","982"
"849","653","983"
"851","655","1025"
"852","656","3"
"853","656","4"
"854","656","5"
"855","657","96"
"857","657","405"
"858","658","33"
"860","660","1026"
"861","661","1026"
"862","662","851"
"863","662","852"
"864","663","941"
"865","664","930"
"867","666","1028"
"868","666","1029"
"869","666","623"
"870","667","1030"
"871","668","1030"
"872","668","623"
"873","669","321"
"875","669","323"
"876","670","603"
"877","671","156"
"883","675","11"
"884","676","3"
"885","676","4"
"886","676","5"
"887","677","5"
"888","678","76"
"889","679","123"
"890","680","274"
"891","680","275"
"892","681","40"
"893","681","186"
"895","683","156"
"897","685","922"
"898","686","607"
"899","687","5"
"900","687","6"
"901","687","7"
"905","690","184"
"908","693","738"
"915","700","922"
"917","702","922"
"918","703","922"
"919","704","922"
"922","707","29"
"923","708","29"
"931","713","926"
"932","714","927"
"934","716","929"
"935","717","168"
"936","718","674"
"937","718","63"
"946","725","603"
"947","726","931"
"948","727","932"
"952","729","230"
"953","730","230"
"960","733","582"
"968","738","933"
"969","739","934"
"997","754","5"
"998","754","6"
"999","754","7"
"1001","755","11"
"1010","763","803"
"1011","764","803"
"1026","776","939"
"1031","779","301"
"1032","780","50"
"1041","787","476"
"1042","788","483"
"1049","792","344"
"1068","806","944"
"1069","807","945"
"1071","809","392"
"1095","824","948"
"1120","841","22"
"1123","843","950"
"1125","845","952"
"1126","846","879"
"1127","847","879"
"1135","852","953"
"1138","854","954"
"1142","856","955"
"1143","857","306"
"1145","859","926"
"1149","863","819"
"1150","864","926"
"1152","866","926"
"1153","867","959"
"1167","880","962"
"1169","881","525"
"1171","883","879"
"1174","886","546"
"1177","889","881"
"1178","890","881"
"1185","896","882"
"1186","897","879"
"1187","898","879"
"1188","899","879"
"1191","902","11"
"1200","909","879"
"1201","910","879"
"1202","911","879"
"1204","913","885"
"1212","919","887"
"1213","920","888"
"1214","921","889"
"1221","927","892"
"1222","928","892"
"1280","973","900"
"1281","974","901"
"1283","976","902"
"1284","977","902"
"1291","984","903"
"1296","988","854"
"1297","989","854"
"1299","991","235"
"1317","1007","90"
"1318","1008","905"
"1319","1009","905"
"1328","1014","735"
"1330","1016","389"
"1331","1017","907"
"1333","1019","897"
"1334","1020","908"
"1335","1021","909"
"1336","1022","144"
"1341","1026","910"
"1349","1032","879"
"1350","1033","879"
"1351","1034","879"
"1353","1036","645"
"1360","1042","12"
"1361","1043","913"
"1362","1044","913"
"1389","1065","914"
"1417","1078","55"
"1418","1079","915"
"1419","1080","915"
"1420","1081","835"
"1421","1082","835"
"1422","1083","835"
"1423","1084","835"
"1461","1106","22"
"1462","1107","22"
"1483","1121","62"
"1484","1122","62"
"1485","1123","62"
"1490","1127","917"
"1491","1128","396"
"1495","1130","917"
"1511","1140","40"
"1512","1141","40"
"1514","1143","470"
"1515","1144","470"
"1524","1148","918"
"1526","1150","919"
"1527","1151","919"
"1536","1156","320"
"1547","1164","362"
"1548","1165","724"
"1549","1166","799"
"1550","1167","799"
"1551","1168","799"
"1560","1175","800"
"1591","1202","807"
"1596","1206","809"
"1597","1207","809"
"1598","1208","233"
"1609","1216","811"
"1633","1237","815"
"1637","1240","483"
"1638","1241","171"
"1639","1242","171"
"1640","1243","324"
"1644","1246","817"
"1655","1256","823"
"1656","1257","824"
"1658","1259","735"
"1662","1262","826"
"1663","1263","827"
"1665","1265","828"
"1670","1269","831"
"1688","1282","476"
"1691","1284","603"
"1692","1285","833"
"1699","1289","835"
"1700","1290","835"
"1701","1291","835"
"1702","1292","836"
"1711","1298","838"
"1712","1299","838"
"1720","1303","839"
"1721","1304","71"
"1724","1307","840"
"1725","1308","841"
"1726","1309","738"
"1756","1327","736"
"1758","1328","29"
"1763","1332","40"
"1764","1333","180"
"1765","1334","842"
"1766","1334","843"
"1767","1335","842"
"1768","1335","843"
"1771","1337","562"
"1772","1338","40"
"1773","1339","40"
"1774","1340","773"
"1776","1342","844"
"1777","1343","123"
"1801","1360","848"
"1815","1371","853"
"1840","1389","40"
"1841","1390","162"
"1849","1395","855"
"1851","1397","635"
"1852","1398","856"
"1856","1402","95"
"1886","1427","868"
"1890","1430","869"
"1893","1433","483"
"1894","1434","483"
"1897","1436","871"
"1898","1437","871"
"1899","1438","872"
"1918","1447","839"
"1919","1448","180"
"1920","1449","873"
"1921","1450","874"
"1927","1454","878"
"1928","1455","264"
"1938","1461","80"
"1939","1462","80"
"1974","1492","727"
"1987","1503","776"
"2006","1519","40"
"2007","1520","40"
"2011","1524","262"
"2036","1544","156"
"2038","1546","779"
"2039","1547","780"
"2040","1548","707"
"2041","1549","22"
"2042","1550","22"
"2064","1569","120"
"2086","1586","33"
"2087","1587","33"
"2088","1588","33"
"2118","1610","239"
"2119","1611","660"
"2120","1612","239"
"2121","1613","239"
"2122","1614","787"
"2128","1619","306"
"2129","1620","788"
"2135","1623","514"
"2183","1651","316"
"2184","1652","381"
"2212","1671","796"
"2213","1672","396"
"2253","1703","754"
"2254","1704","755"
"2256","1706","779"
"2287","1727","779"
"2303","1740","120"
"2304","1741","120"
"2305","1742","120"
"2385","1794","702"
"2408","1811","738"
"2416","1818","40"
"2417","1819","739"
"2433","1831","40"
"2434","1832","40"
"2438","1835","340"
"2451","1848","737"
"2459","1855","316"
"2460","1856","316"
"2461","1857","316"
"2462","1858","316"
"2474","1867","22"
"2475","1868","707"
"2477","1870","745"
"2483","1876","413"
"2484","1877","413"
"2485","1878","413"
"2486","1879","22"
"2514","1896","343"
"2515","1897","343"
"2516","1898","343"
"2517","1899","343"
"2518","1900","343"
"2519","1901","343"
"2569","1939","76"
"2572","1941","80"
"2573","1942","396"
"2578","1946","754"
"2580","1948","485"
"2582","1950","756"
"2599","1962","759"
"2601","1964","358"
"2602","1965","358"
"2603","1966","358"
"2610","1971","40"
"2611","1972","40"
"2627","1984","761"
"2653","2004","764"
"2677","2021","413"
"2678","2022","413"
"2679","2023","413"
"2684","2027","769"
"2714","2054","40"
"2715","2054","186"
"2724","2059","581"
"2725","2060","546"
"2726","2061","695"
"2772","2095","189"
"2773","2096","702"
"2774","2097","76"
"2775","2098","76"
"2776","2099","673"
"2777","2100","673"
"2785","2105","703"
"2787","2107","72"
"2788","2108","72"
"2789","2109","72"
"2802","2118","340"
"2803","2119","26"
"2808","2123","663"
"2810","2125","27"
"2811","2126","706"
"2816","2130","22"
"2817","2131","22"
"2818","2132","565"
"2824","2138","108"
"2825","2139","108"
"2826","2140","707"
"2839","2150","22"
"2840","2151","22"
"2841","2152","292"
"2842","2153","292"
"2843","2154","120"
"2854","2163","709"
"2855","2164","709"
"2856","2165","709"
"2872","2177","270"
"2873","2178","270"
"2883","2188","27"
"2884","2189","27"
"2885","2190","673"
"2886","2191","91"
"2887","2192","27"
"2888","2193","27"
"2891","2196","2"
"2892","2197","91"
"2893","2198","44"
"2894","2199","44"
"2908","2209","713"
"2958","2236","715"
"2990","2254","288"
"2991","2255","288"
"2992","2256","288"
"2993","2257","288"
"3002","2263","717"
"3003","2264","717"
"3007","2267","396"
"3019","2276","44"
"3047","2298","362"
"3048","2299","362"
"3049","2300","724"
"3050","2301","27"
"3051","2302","27"
"3052","2303","27"
"3053","2304","725"
"3054","2305","726"
"3058","2309","507"
"3059","2310","560"
"3060","2311","40"
"3061","2312","270"
"3062","2313","40"
"3063","2314","40"
"3064","2315","40"
"3077","2325","316"
"3078","2326","316"
"3079","2327","262"
"3081","2329","730"
"3085","2333","27"
"3086","2334","27"
"3091","2337","27"
"3092","2338","413"
"3097","2343","27"
"3132","2375","295"
"3133","2376","292"
"3249","2460","624"
"3250","2461","624"
"3276","2476","640"
"3277","2477","640"
"3278","2478","640"
"3281","2481","464"
"3282","2482","464"
"3283","2483","464"
"3284","2484","464"
"3286","2486","40"
"3287","2487","40"
"3328","2517","653"
"3329","2518","248"
"3330","2519","248"
"3331","2520","343"
"3333","2522","362"
"3345","2532","262"
"3346","2533","595"
"3347","2534","596"
"3358","2542","207"
"3365","2548","144"
"3373","2554","659"
"3374","2555","660"
"3380","2561","663"
"3397","2573","234"
"3398","2574","234"
"3399","2575","665"
"3400","2576","665"
"3401","2577","665"
"3402","2578","665"
"3403","2579","140"
"3405","2581","22"
"3415","2590","128"
"3416","2591","668"
"3418","2593","112"
"3419","2594","108"
"3420","2595","31"
"3421","2596","112"
"3424","2598","669"
"3425","2599","670"
"3427","2601","671"
"3428","2602","498"
"3429","2603","672"
"3445","2616","673"
"3453","2622","676"
"3454","2623","180"
"3455","2624","413"
"3460","2627","96"
"3481","2646","40"
"3489","2653","678"
"3490","2654","678"
"3491","2655","679"
"3503","2666","230"
"3504","2667","230"
"3509","2671","166"
"3510","2672","166"
"3529","2689","40"
"3530","2690","681"
"3531","2691","682"
"3545","2702","11"
"3546","2703","11"
"3555","2709","50"
"3557","2711","22"
"3558","2712","396"
"3559","2713","688"
"3560","2714","689"
"3561","2715","690"
"3562","2716","62"
"3570","2722","136"
"3571","2723","691"
"3581","2729","532"
"3584","2732","535"
"3585","2733","207"
"3601","2743","22"
"3611","2749","120"
"3624","2762","181"
"3625","2763","73"
"3626","2764","546"
"3627","2765","22"
"3638","2773","288"
"3639","2774","288"
"3640","2775","288"
"3641","2776","288"
"3642","2777","547"
"3643","2778","207"
"3644","2779","546"
"3645","2780","207"
"3646","2781","288"
"3647","2782","207"
"3674","2799","551"
"3676","2801","553"
"3677","2802","553"
"3678","2803","553"
"3695","2813","162"
"3702","2817","120"
"3703","2818","183"
"3704","2819","206"
"3705","2820","183"
"3717","2829","559"
"3726","2838","562"
"3742","2851","20"
"3743","2852","20"
"3752","2861","19"
"3758","2864","40"
"3787","2886","572"
"3789","2888","29"
"3790","2889","29"
"3808","2906","576"
"3809","2907","576"
"3810","2908","184"
"3811","2908","576"
"3812","2909","576"
"3813","2910","365"
"3867","2948","270"
"3868","2949","191"
"3882","2962","108"
"3883","2963","586"
"3894","2972","120"
"3895","2973","123"
"3896","2974","589"
"3897","2975","120"
"3900","2978","400"
"3901","2979","400"
"3902","2980","400"
"3903","2981","590"
"3904","2982","591"
"3906","2984","565"
"3912","2990","2"
"3913","2991","2"
"3914","2992","565"
"3915","2993","565"
"3927","3003","262"
"3928","3004","595"
"3929","3005","596"
"3939","3010","262"
"3974","3033","352"
"3978","3037","301"
"3984","3042","120"
"3985","3043","565"
"4003","3057","498"
"4004","3058","94"
"4021","3072","99"
"4022","3073","99"
"4072","3109","617"
"4073","3110","617"
"4074","3111","617"
"4075","3112","617"
"4081","3116","619"
"4082","3117","120"
"4083","3118","120"
"4084","3119","620"
"4085","3120","621"
"4086","3121","622"
"4087","3122","622"
"4088","3123","622"
"4108","3142","136"
"4109","3143","357"
"4135","3163","361"
"4136","3164","362"
"4137","3165","363"
"4138","3166","364"
"4139","3167","365"
"4140","3168","203"
"4165","3180","374"
"4166","3181","375"
"4167","3182","376"
"4186","3197","380"
"4187","3198","381"
"4188","3199","27"
"4197","3206","389"
"4198","3207","389"
"4199","3208","389"
"4200","3209","389"
"4201","3210","389"
"4202","3211","389"
"4203","3212","389"
"4204","3213","390"
"4205","3214","391"
"4206","3215","392"
"4207","3216","392"
"4209","3218","394"
"4210","3219","395"
"4212","3221","396"
"4213","3222","306"
"4218","3227","398"
"4220","3229","400"
"4221","3230","400"
"4222","3231","400"
"4226","3235","403"
"4227","3236","403"
"4228","3237","404"
"4229","3238","29"
"4230","3239","29"
"4231","3240","160"
"4232","3241","160"
"4233","3242","160"
"4234","3243","160"
"4235","3244","160"
"4236","3245","160"
"4248","3252","406"
"4249","3253","407"
"4250","3254","120"
"4253","3257","408"
"4254","3258","409"
"4255","3259","410"
"4257","3261","288"
"4259","3263","413"
"4260","3264","413"
"4261","3265","413"
"4272","3273","416"
"4273","3274","416"
"4274","3275","281"
"4275","3276","417"
"4276","3277","417"
"4281","3280","338"
"4282","3281","338"
"4283","3282","96"
"4291","3287","419"
"4292","3288","419"
"4316","3305","40"
"4317","3306","421"
"4337","3323","317"
"4338","3324","430"
"4339","3325","430"
"4352","3337","223"
"4355","3340","223"
"4357","3342","231"
"4358","3343","231"
"4362","3347","40"
"4363","3348","40"
"4364","3349","40"
"4365","3350","437"
"4369","3353","409"
"4370","3354","410"
"4371","3355","439"
"4372","3356","316"
"4374","3357","440"
"4376","3359","440"
"4379","3362","443"
"4384","3367","445"
"4392","3374","25"
"4396","3376","446"
"4397","3377","40"
"4408","3387","452"
"4414","3391","453"
"4415","3392","454"
"4416","3393","455"
"4417","3394","318"
"4418","3395","400"
"4422","3399","120"
"4423","3400","120"
"4424","3401","120"
"4425","3402","120"
"4429","3406","458"
"4432","3408","107"
"4433","3409","455"
"4436","3412","230"
"4437","3413","230"
"4451","3426","464"
"4452","3427","464"
"4453","3428","464"
"4454","3429","464"
"4455","3430","464"
"4456","3431","464"
"4468","3442","344"
"4469","3443","344"
"4470","3444","344"
"4471","3445","344"
"4486","3458","470"
"4487","3459","471"
"4488","3460","471"
"4489","3461","472"
"4490","3462","472"
"4491","3463","473"
"4503","3470","22"
"4513","3475","476"
"4514","3476","105"
"4517","3479","50"
"4518","3480","50"
"4519","3481","162"
"4521","3483","215"
"4522","3484","479"
"4523","3485","480"
"4524","3486","479"
"4525","3487","479"
"4526","3488","479"
"4527","3489","479"
"4528","3490","481"
"4529","3491","479"
"4535","3495","98"
"4536","3496","98"
"4537","3497","233"
"4540","3500","470"
"4564","3518","400"
"4565","3519","400"
"4577","3531","490"
"4593","3542","495"
"4594","3543","495"
"4595","3544","495"
"4600","3548","33"
"4602","3549","498"
"4603","3550","499"
"4604","3551","500"
"4605","3552","501"
"4606","3553","381"
"4607","3554","502"
"4608","3555","136"
"4614","3561","505"
"4620","3567","162"
"4622","3569","215"
"4623","3570","509"
"4637","3584","462"
"4638","3585","512"
"4639","3586","513"
"4640","3587","509"
"4641","3588","509"
"4644","3590","514"
"4645","3591","514"
"4646","3592","515"
"4647","3593","514"
"4648","3594","514"
"4663","3606","20"
"4664","3607","20"
"4670","3612","505"
"4671","3613","505"
"4672","3614","40"
"4685","3626","526"
"4686","3627","526"
"4687","3628","203"
"4689","3630","136"
"4690","3631","31"
"4691","3632","31"
"4697","3636","527"
"4700","3638","306"
"4701","3639","528"
"4702","3640","529"
"4716","3650","2"
"4717","3651","2"
"4718","3652","3"
"4719","3652","4"
"4720","3652","5"
"4721","3653","5"
"4722","3653","6"
"4723","3653","7"
"4724","3654","8"
"4725","3654","9"
"4726","3654","10"
"4727","3655","11"
"4728","3656","11"
"4729","3657","7"
"4730","3658","12"
"4749","3666","13"
"4761","3674","19"
"4762","3675","20"
"4763","3676","20"
"4764","3677","20"
"4765","3678","20"
"4767","3680","20"
"4768","3681","21"
"4769","3682","21"
"4770","3683","21"
"4771","3684","21"
"4772","3685","21"
"4773","3686","21"
"4774","3687","22"
"4775","3688","22"
"4786","3697","29"
"4787","3698","30"
"4788","3699","31"
"4789","3700","31"
"4794","3705","31"
"4797","3708","33"
"4798","3709","33"
"4799","3710","33"
"4804","3715","36"
"4807","3716","38"
"4808","3717","39"
"4809","3718","40"
"4811","3719","40"
"4843","3739","31"
"4844","3740","64"
"4846","3742","21"
"4848","3744","117"
"4849","3745","179"
"4850","3746","199"
"4851","3747","200"
"4853","3749","67"
"4854","3750","67"
"4882","3769","77"
"4888","3774","9"
"4896","3780","83"
"4897","3780","84"
"4898","3781","85"
"4899","3781","86"
"4902","3783","87"
"4903","3784","87"
"4904","3785","87"
"4905","3786","88"
"4906","3787","88"
"4908","3789","90"
"4909","3790","90"
"4910","3791","91"
"4911","3792","92"
"4925","3804","98"
"4926","3805","98"
"4927","3806","99"
"4928","3807","99"
"4929","3808","100"
"4954","3822","104"
"4955","3823","319"
"4956","3824","319"
"4957","3825","105"
"4958","3826","105"
"4961","3829","108"
"4962","3830","108"
"4964","3832","110"
"4965","3833","111"
"4967","3835","112"
"4968","3836","113"
"4969","3837","114"
"4970","3838","114"
"4971","3839","115"
"4972","3840","115"
"4973","3841","116"
"4974","3842","117"
"4975","3843","116"
"4976","3844","116"
"4982","3850","96"
"4983","3850","118"
"4984","3851","96"
"4985","3852","119"
"4986","3853","96"
"4987","3854","120"
"4988","3854","2"
"5009","3870","26"
"5010","3870","27"
"5011","3871","33"
"5012","3872","203"
"5013","3873","204"
"5014","3874","205"
"5015","3875","206"
"5016","3876","207"
"5017","3877","208"
"5018","3878","144"
"5019","3879","145"
"5022","3882","148"
"5064","3917","154"
"5065","3918","155"
"5066","3919","94"
"5067","3920","156"
"5068","3921","157"
"5069","3922","158"
"5070","3923","158"
"5071","3924","156"
"5072","3925","156"
"5073","3926","159"
"5074","3927","160"
"5076","3929","160"
"5077","3930","161"
"5078","3931","166"
"5079","3932","167"
"5080","3933","168"
"5081","3934","33"
"5082","3935","27"
"5083","3936","33"
"5084","3937","33"
"5093","3944","171"
"5095","3946","311"
"5098","3949","129"
"5104","3954","40"
"5105","3955","96"
"5110","3960","179"
"5111","3961","22"
"5112","3962","22"
"5113","3963","180"
"5114","3964","181"
"5115","3965","182"
