"id","author","work","authorship_order","appellation"
"0","141","1","1","2635"
"1","606","2","4","7372"
"2","3008","2","1","461"
"3","3009","2","2","180"
"4","3010","2","3","526"
"5","242","3","1","5381"
"7","1821","3","2","3932"
"8","3011","3","4","4368"
"9","2928","4","2","4742"
"10","3012","4","1","2366"
"11","3013","5","1","3263"
"12","3014","5","2","2799"
"13","3015","6","1","6824"
"14","66","7","1","984"
"15","3016","8","1","4958"
"16","2894","9","1","3599"
"17","76","10","1","6153"
"18","3017","11","1","2074"
"19","2850","12","1","861"
"20","3018","12","2","3605"
"21","3019","12","3","5351"
"22","3020","12","4","1170"
"23","1777","13","1","5025"
"24","3021","13","2","1877"
"25","7244","13","3","4902"
"26","8013","14","1","6650"
"27","6807","14","3","6163"
"28","1128","14","2","1013"
"29","64","15","3","2976"
"30","6773","15","1","3789"
"31","3024","15","2","45"
"32","3025","16","1","930"
"33","1920","17","1","4145"
"34","1921","17","2","6612"
"35","3026","18","1","1340"
"36","3027","18","2","489"
"37","777","19","1","897"
"38","3028","20","1","1509"
"39","3029","20","2","3756"
"40","1977","21","1","4220"
"41","1936","21","2","6148"
"42","3030","21","3","432"
"43","3031","21","4","1952"
"44","3032","21","5","3085"
"45","3033","22","1","4222"
"46","3034","23","1","600"
"47","3035","23","2","5390"
"48","3036","23","3","2096"
"49","3037","24","1","2886"
"50","3037","25","1","2886"
"51","3000","26","2","2104"
"52","3001","26","4","4893"
"53","3038","26","1","6724"
"54","3039","26","3","1467"
"55","3040","26","5","3571"
"56","66","27","2","984"
"57","3041","27","1","2409"
"58","3042","27","3","1437"
"59","1096","28","1","2709"
"60","1048","29","1","6723"
"61","3043","30","1","2471"
"62","1216","31","1","1222"
"63","3044","31","2","3624"
"64","838","32","6","2271"
"65","1443","32","1","3400"
"66","2935","32","5","3055"
"67","3045","32","4","2422"
"68","3046","32","3","3097"
"69","3047","32","2","809"
"70","3048","33","1","1004"
"71","3049","34","1","2533"
"72","490","35","1","7371"
"73","3050","36","1","1501"
"74","1930","37","1","3721"
