"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"1","2000","Glasgow","Affiliations need to be double-checked.","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","","2000-07-21","2000-07-25","Glasgow","Scotland","65","","","","r","True","True","2000 Glasgow Glasgow Institution object (961) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2000 - Glasgow"
"2","2001","New York University","Affiliations need to be double-checked.","https://web.archive.org/web/20011127030143/http://www.nyu.edu/its/humanities/ach_allc2001/","","2001-07-13","2001-07-16","New York","NY","64","","","289 (https://web.archive.org/web/20011125075857/http://www.nyu.edu/its/humanities/ach_allc2001/participants.html)","r","True","True","2001 New York University New York Institution object (534) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2001 - New York University"
"3","2002","Tübingen","Affiliations need to be double-checked.","http://web.archive.org/web/20041117094331/http://www.uni-tuebingen.de/allcach2002/","New Directions in Humanities Computing","2002-07-23","2008-07-28","Tübingen","","4","","","","r","True","True","2002 Tübingen Tübingen Institution object (825) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2002 - Tübingen"
"4","2003","Georgia","Affiliations need to be double-checked.","http://web.archive.org/web/20071113184133/http://www.english.uga.edu/webx/","Web X: A Decade of the World Wide Web","2003-05-29","2003-06-02","Athens","Georgia","64","","","","r","True","True","2003 Georgia Athens Institution object (959) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2003 - Georgia"
"5","2004","Gothenburg","","http://web.archive.org/web/20040815075341/http://www.hum.gu.se/allcach2004/","","2004-06-11","2004-06-16","Gothenborg","","34","","","","c","True","True","2004 Gothenburg Gothenborg Institution object (243) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2004 - Gothenburg"
"6","2005","Victoria","Affiliations need to be double checked.","http://web.archive.org/web/20071215042001/http://web.uvic.ca/hrd/achallc2005/","","2005-06-15","2005-06-18","Victoria","British Columbia","13","","","","r","True","True","2005 Victoria Victoria Institution object (1120) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","2005 - Victoria"
"7","2006","Sorbonne","The effort to establish ADHO began in Tuebingen, at the ALLC/ACH conference in 2002: a Steering Committee was appointed at the ALLC/ACH meeting in 2004, in Gothenburg, Sweden. At the 2005 meeting in Victoria, the executive committees of the ACH and ALLC approved the governance and conference protocols and nominated their first representatives to the ‘official’ ADHO Steering Committee and various ADHO standing committees. The 2006 conference was the first Digital Humanities conference.","http://www.allc-ach2006.colloques.paris-sorbonne.fr/","","2006-07-05","2006-07-09","Paris","","2","","","","c","True","True","2006 Sorbonne Paris Université Paris-Sorbonne, Paris IV (Paris-Sorbonne University) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH ADHO Annual Conference ADHO Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Alliance of Digital Humanities Organizations ADHO Association for Literary and Linguistic Computing ALLC","2006 - Sorbonne"
"8","2007","Urbana-Champaign","","http://www.digitalhumanities.org/dh2007/","","2007-06-02","2007-06-08","Urbana-Champaign","Illinois","64","http://web.archive.org/web/20070810143343/http://digitalhumanities.org/dh2007/DH2007.detail.html

http://web.archive.org/web/20080703194728/http://www.digitalhumanities.org/dh2007/abstracts/titles.xq","","","c","True","True","2007 Urbana-Champaign Urbana-Champaign Institution object (974) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2007 - Urbana-Champaign"
"9","2008","Oulu","","http://www.ekl.oulu.fi/dh2008/","","2008-06-25","2008-06-29","Oulu","","8","","","","c","True","True","2008 Oulu Oulu Institution object (1048) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2008 - Oulu"
"10","2009","UMD College Park","","http://web.archive.org/web/20130307234434/http://mith.umd.edu/dh09/","","2009-06-20","2009-06-25","College Park","Maryland","64","","","","c","True","True","2009 UMD College Park College Park Institution object (1010) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2009 - UMD College Park"
