"id","name","city","state_province_region","country"
"5","Royal Melbourne Institute of Technology (RMIT)","Melbourne","","6"
"7","Åbo Akademi University","Turku","","8"
"9","A2iA","","","2"
"10","AAC-Austrian Academy Corpus","","","5"
"11","Aalto University","","","8"
"12","Aarhus University","","","10"
"13","Academia Sinica","","","68"
"14","Academy of Fine Arts in Krakow","","","12"
"15","Academy of Fine Arts in Warsaw","","","12"
"16","Academy of Sciences and Literature","","","4"
"17","Acadia University","Wolfville","Nova Scotia","13"
"18","Agence Bread and Butter","","","9"
"19","Agra University","","","14"
"20","Aix-Marseille University","Marseille","","2"
"21","Akademie der Wissenschaften und der Literatur (ADW) Mainz","Mainz","","4"
"22","Akademie der Wissenschaften zu Göttingen","","","4"
"23","Alexandria Archive Institute","","","64"
"25","American University of Beirut","","","15"
"27","Anvil Academic","","","64"
"28","Aoyama Gakuin University","","","17"
"29","Archimedes Web Solutions","","","64"
"30","Archivist of the United States","","","64"
"32","Arizona State University","Tempe","","64"
"33","arkyves","","","1"
"35","Artivest","","","64"
"36","Athabasca University","","","13"
"37","Athena Research & Innovation Center in Information Communication & Knowledge Technologies","","","18"
"39","Athens University of Economics and Business","Athens","","18"
"40","ATILF","","","2"
"41","ATILF-CNRS","","","2"
"42","Australian Defence Force Academy","","","6"
"43","Australian National University","Canberra","","6"
"44","Austrian Academy of Sciences","Vienna","","5"
"47","AIT Austrian Institute of Technology GmbH","","","5"
"48","Aziza Technology Associates","","","64"
"49","Babes-Bolyai University","","","19"
"51","Barcelona Supercomputing Centre","","","21"
"52","Bar-Ilan University","Ramat Gan","","20"
"54","Baylor University","Waco","","64"
"55","BCcampus","","","13"
"57","Beihang University","","","22"
"58","Beijign Normal University","","","22"
"59","Beijing Institute of Technology","","","68"
"60","Belgrade Center for Digital Humanities","Belgrade","","23"
"61","Bergische Universität Wuppertal","","","4"
"62","Berkeley Museum of Art","","","64"
"64","Berlin-Brandenburgische Akademie der Wissenschaften (BBWA) (Berlin-Brandenburg Academy of Sciences and Humanities)","Berlin","","4"
"65","Bibliothèque nationale de France (BnF) (National Library of France)","Paris","","2"
"66","Biblissima","","","2"
"68","Bildarchiv Foto Marburg","","","4"
"69","Birmingham City University","","","65"
"71","Bloomsburg University","Bloomsburg","Pennsylvania","64"
"72","Bogazici University (BU), Turkey","","","24"
"73","Bordeaux 3 University","","","2"
"74","Boston College","Boston","Massachusetts","64"
"75","Boston University","Boston","","64"
"76","Brandon University","","","13"
"77","Brigham Young University","Provo","Utah","64"
"79","Brill Publishers","","","1"
"80","British Broadcasting Corporation (BBC)","","","65"
"81","British Film Institute","","","65"
"83","British Library","London","England","65"
"84","Brock University, St. Catharines","St. Catharines","Ontario","13"
"85","Brown University","Providence","","64"
"87","Bucknell University","Lewisburg","Pennsylvania","64"
"88","Bulgarian Academy of Sciences","Sofia","","25"
"89","Bundesarchiv","","","4"
"90","Bureau voor Bouwhistorie en Architectuur","","","1"
"91","California Digital Library","","","64"
"92","California Polytechnic State University","San Luis Obispo","California","64"
"94","Cambridge University","Cambridge","England","65"
"95","Cardiff University","","","65"
"96","Carleton University","Ottawa","Ontario","13"
"97","Carnegie Mellon University","Pittsburgh","Pennsylvania","64"
"98","Cartography Associates","","","64"
"99","Case Western Reserve University","","","64"
"100","Cast Iron Coding","","","64"
"101","Catholic University of America","","","64"
"102","CELI - Language Technology","","","26"
"103","Central Connecticuit State University","","","64"
"104","Central Institute of Indian Languages","","","14"
"105","Centre for Computing in the Humanities","","","4"
"106","Centre for Language Technology (CST)","","","10"
"110","Centrum voor Teksteditie en Bronnenstudie (KANTL)","","","28"
"111","Champaign Urbana Community Fab Lab","","","64"
"112","Chang Gung University","","","68"
"113","Charles Darwin University","","","6"
"114","Charles University in Prague","","","29"
"115","Chiba University of Commerce","Chiba","","17"
"116","Chung-Hwa Institute of Buddhist Studies","","","68"
"117","City University London","London","England","65"
"118","City University of Hong Kong","Kowloon","Hong Kong","22"
"120","CLARIN ERIC","","","1"
"121","CLARIN-D","","","4"
"122","Clemson University","Clemson","South Carolina","64"
"123","CLEO, Centre for Open Electronic Publishing","","","2"
"124","Cluster of Excellence 'Asia and Europe in a Global Context', Heidelberg University","","","64"
"126","CNRS (Centre national de la recherche scientifique)","","","2"
"127","Colgate University","","","64"
"131","College of Wooster","","","64"
"133","Columbia University","New York","New York","64"
"134","Communication University of China","","","22"
"137","Concordia University","","","64"
"138","Concordia University / Université Concordia","Montreal","Québec","13"
"139","Conseil National de Recherche du Canada","","","13"
"140","Consiglio Nazionale delle Ricerche (CNR)","","","26"
"141","Cornell University","Ithaca","New York","64"
"142","Council on Library and Information Resources (CLIR)","","","64"
"144","Curtin University","","","6"
"146","Dalhousie University","","","13"
"147","Danish National Research Foundation Centre for Language Change In Real Time","","","10"
"148","Dartmouth College","Hanover","New Hampshire","64"
"150","Data Archiving and Networked Services (DANS)","","","1"
"151","Data Futures Ltd","","","65"
"152","Daugavpils University","Daugavpils","","30"
"154","Davidson College","","","64"
"155","De Montfort University","","","65"
"156","Deakin University","","","6"
"158","TU Delft (Delft University of Technology)","Delft","","1"
"160","Deutsche Forschungsgemeinschaft","","","4"
"161","Deutsche Telekom AG Laboratories (T-Labs)","","","4"
"163","Deutsche Welle","","","4"
"164","Deutsches Archaeologisches Institut (German Archaeological Institute)","Berlin","","4"
"167","Dharma Drum Buddhist College","New Taipei City","","68"
"168","DIGHUMLAB","","","10"
"169","Digital Antiquity","","","64"
"170","Digital Archives, Research & Technology Services (DARTS)","","","64"
"173","Digital Repository of Ireland","","","16"
"174","Digital Yiddish Theatre Project","","","64"
"175","Doshisha University","Kyoto","","17"
"177","Drew University","","","64"
"178","Drexel University","","","64"
"179","Dublin City University","Dublin","","16"
"180","Duke University","Durham","","64"
"181","Dun Laoghaire Institute of Art, Design, and Technology","","","16"
