"id","title","code"
"3188","English","en"
"3189","French","fr"
"3190","Spanish","es"
"3191","German","de"
"3192","Italian","it"
"3193","Portuguese","pt"
"3194","Abkhazian","ab"
"3195","Afar","aa"
"3196","Afrikaans","af"
"3197","Akan","ak"
"3198","Albanian","sq"
"3199","Amharic","am"
"3200","Arabic","ar"
"3201","Aragonese","an"
"3202","Armenian","hy"
"3203","Assamese","as"
"3204","Avaric","av"
"3205","Avestan","ae"
"3206","Aymara","ay"
"3207","Azerbaijani","az"
"3208","Bambara","bm"
"3209","Bashkir","ba"
"3210","Basque","eu"
"3211","Belarusian","be"
"3212","Bengali (Bangla)","bn"
"3213","Bihari","bh"
"3214","Bislama","bi"
"3215","Bosnian","bs"
"3216","Breton","br"
"3217","Bulgarian","bg"
"3218","Burmese","my"
"3219","Catalan","ca"
"3220","Chamorro","ch"
"3221","Chechen","ce"
"3222","Chichewa, Chewa, Nyanja","ny"
"3223","Chinese","zh"
"3224","Chuvash","cv"
"3225","Cornish","kw"
"3226","Corsican","co"
"3227","Cree","cr"
"3228","Croatian","hr"
"3229","Czech","cs"
"3230","Danish","da"
"3231","Divehi, Dhivehi, Maldivian","dv"
"3232","Dutch","nl"
"3233","Dzongkha","dz"
"3234","Esperanto","eo"
"3235","Estonian","et"
"3236","Ewe","ee"
"3237","Faroese","fo"
"3238","Fijian","fj"
"3239","Finnish","fi"
"3240","Fula, Fulah, Pulaar, Pular","ff"
"3241","Galician","gl"
"3242","Gaelic (Scottish)","gd"
"3243","Gaelic (Manx)","gv"
"3244","Georgian","ka"
"3245","Greek","el"
"3246","Greenlandic","kl"
"3247","Guarani","gn"
"3248","Gujarati","gu"
"3249","Haitian Creole","ht"
"3250","Hausa","ha"
"3251","Hebrew","he"
"3252","Herero","hz"
"3253","Hindi","hi"
"3254","Hiri Motu","ho"
"3255","Hungarian","hu"
"3256","Icelandic","is"
"3257","Ido","io"
"3258","Igbo","ig"
"3259","Indonesian","id"
"3260","Interlingua","ia"
"3261","Interlingue","ie"
"3262","Inuktitut","iu"
"3263","Inupiak","ik"
"3264","Irish","ga"
"3265","Japanese","ja"
"3266","Javanese","jv"
"3267","Kannada","kn"
"3268","Kanuri","kr"
"3269","Kashmiri","ks"
"3270","Kazakh","kk"
"3271","Khmer","km"
"3272","Kikuyu","ki"
"3273","Kinyarwanda (Rwanda)","rw"
"3274","Kirundi","rn"
"3275","Kyrgyz","ky"
"3276","Komi","kv"
"3277","Kongo","kg"
"3278","Korean","ko"
"3279","Kurdish","ku"
"3280","Kwanyama","kj"
"3281","Lao","lo"
"3282","Latin","la"
"3283","Latvian (Lettish)","lv"
"3284","Limburgish (Limburger)","li"
"3285","Lingala","ln"
"3286","Lithuanian","lt"
"3287","Luga-Katanga","lu"
"3288","Luganda, Ganda","lg"
"3289","Luxembourgish","lb"
"3290","Macedonian","mk"
"3291","Malagasy","mg"
"3292","Malay","ms"
"3293","Malayalam","ml"
"3294","Maltese","mt"
"3295","Maori","mi"
"3296","Marathi","mr"
"3297","Marshallese","mh"
"3298","Moldavian","mo"
"3299","Mongolian","mn"
"3300","Nauru","na"
"3301","Navajo","nv"
"3302","Ndonga","ng"
"3303","Northern Ndebele","nd"
"3304","Nepali","ne"
"3305","Norwegian","no"
"3306","Norwegian bokmål","nb"
"3307","Norwegian nynorsk","nn"
"3308","Nuosu","ii"
"3309","Occitan","oc"
"3310","Ojibwe","oj"
"3311","Old Church Slavonic, Old Bulgarian","cu"
"3312","Oriya","or"
"3313","Oromo (Afaan Oromo)","om"
"3314","Ossetian","os"
"3315","Pāli","pi"
"3316","Pashto, Pushto","ps"
"3317","Persian (Farsi)","fa"
"3318","Polish","pl"
"3319","Punjabi (Eastern)","pa"
"3320","Quechua","qu"
"3321","Romansh","rm"
"3322","Romanian","ro"
"3323","Russian","ru"
"3324","Sami","se"
"3325","Samoan","sm"
"3326","Sango","sg"
"3327","Sanskrit","sa"
"3328","Serbian","sr"
"3329","Serbo-Croatian","sh"
"3330","Sesotho","st"
"3331","Setswana","tn"
"3332","Shona","sn"
"3333","Sindhi","sd"
"3334","Sinhalese","si"
"3335","Siswati","ss"
"3336","Slovak","sk"
"3337","Slovenian","sl"
"3338","Somali","so"
"3339","Southern Ndebele","nr"
"3340","Sundanese","su"
"3341","Swahili (Kiswahili)","sw"
"3342","Swedish","sv"
"3343","Tagalog","tl"
"3344","Tahitian","ty"
"3345","Tajik","tg"
"3346","Tamil","ta"
"3347","Tatar","tt"
"3348","Telugu","te"
"3349","Thai","th"
"3350","Tibetan","bo"
"3351","Tigrinya","ti"
"3352","Tonga","to"
"3353","Tsonga","ts"
"3354","Turkish","tr"
"3355","Turkmen","tk"
"3356","Twi","tw"
"3357","Uyghur","ug"
"3358","Ukrainian","uk"
"3359","Urdu","ur"
"3360","Uzbek","uz"
"3361","Venda","ve"
"3362","Vietnamese","vi"
"3363","Volapük","vo"
"3364","Wallon","wa"
"3365","Welsh","cy"
"3366","Wolof","wo"
"3367","Western Frisian","fy"
"3368","Xhosa","xh"
"3369","Yiddish","yi"
"3370","Yoruba","yo"
"3371","Zhuang, Chuang","za"
"3372","Zulu","zu"
