"id","title"
"3051","3d printing"
"3052","agent modeling and simulation"
"3053","anthropology"
"3054","archaeology"
"3055","archives, repositories, sustainability and preservation"
"3056","art history"
"3057","asian studies"
"3058","audio, video, multimedia"
"3059","authorship attribution / authority"
"3060","bibliographic methods / textual studies"
"3061","classical studies"
"3062","concording and indexing"
"3063","content analysis"
"3064","copyright, licensing, and open access"
"3065","corpora and corpus activities"
"3066","creative and performing arts, including writing"
"3067","crowdsourcing"
"3068","cultural infrastructure"
"3069","cultural studies"
"3070","data mining / text mining"
"3071","data modeling and architecture including hypothesis-driven modeling"
"3072","databases & dbms"
"3073","digital humanities - diversity"
"3074","digital humanities - facilities"
"3075","digital humanities - institutional support"
"3076","digital humanities - multilinguality"
"3077","digital humanities - nature and significance"
"3078","digital humanities - pedagogy and curriculum"
"3079","digitisation - theory and practice"
"3080","digitisation, resource creation, and discovery"
"3081","encoding - theory and practice"
"3082","english"
"3083","english studies"
"3084","film and cinema studies"
"3085","folklore and oral history"
"3087","french studies"
"3088","games and meaningful play"
"3089","gender studies"
"3090","genre-specific studies: prose, poetry, drama"
"3091","geospatial analysis, interfaces and technology"
"3092","german studies"
"3093","GLAM: galleries, libraries, archives, museums"
"3094","historical studies"
"3095","history of humanities computing/digital humanities"
"3096","hypertext"
"3097","image processing"
"3098","information architecture"
"3099","information retrieval"
"3100","interdisciplinary collaboration"
"3101","interface and user experience design"
"3102","internet / world wide web"
"3104","italian studies"
"3105","knowledge representation"
"3106","law"
"3107","lexicography"
"3108","linguistics"
"3109","linking and annotation"
"3110","literary studies"
"3111","machine translation"
"3112","maps and mapping"
"3113","media studies"
"3114","medieval studies"
"3115","metadata"
"3116","mobile applications and mobile design"
"3117","morphology"
"3118","multilingual / multicultural approaches"
"3119","music"
"3120","natural language processing"
"3121","near eastern studies"
"3122","networks, relationships, graphs"
"3123","ontologies"
"3124","other"
"3125","philology"
"3126","philosophy"
"3127","programming"
"3128","project design, organization, management"
"3129","prosodic studies"
"3130","publishing and delivery systems"
"3131","query languages"
"3132","renaissance studies"
"3133","rhetorical studies"
"3134","scholarly editing"
"3135","semantic analysis"
"3136","semantic web"
"3137","social media"
"3138","software design and development"
"3139","spanish and spanish american studies"
"3140","spatio-temporal modeling, analysis and visualisation"
"3141","speech processing"
"3142","standards and interoperability"
"3143","stylistics and stylometry"
"3144","teaching and pedagogy"
"3145","text analysis"
"3146","text generation"
"3147","theology"
"3148","translation studies"
"3149","user studies / user needs"
"3150","virtual and augmented reality"
"3152","xml"
"3187","diversity"
"3193","teaching, pedagogy, and curriculum"
"3194","cultural and/or institutional infrastructure"
"3195","german"
"3197","polish"
"3198","interface & user experience design/publishing & delivery systems/user studies/user needs"
"3199","universal/inclusive design"
"3203","film and media studies"
"3205","library & information science"
"3209","interdisciplinary & community collaboration"
"3210","digital humanities history"
"3211","theory"
"3212","epistemology"
"3213","criticism"
"3214","computer science"
"3215","artificial intelligence and machine learning"
"3219","spanish"
"3223","public humanities and community engaged scholarship"
"3227","information architecture and modeling"
"3228","geography"
"3229","sociology"
"3234","geohumanities"
"3236","modeling"
"3237","visualization"
"3238","technologies"
"3242","portuguese"
"3247","globalization & digital divides"
"3248","indigenous studies"
"3249","epistemologies"
"3250","digital ecologies and critical infrastructure studies"
"3251","digital activism and networked communities"
"3254","electronic literature and digital arts"
"3255","italian"
"3256","feminist studies"
"3257","hacker culture"
"3258","media archaeology"
"3259","open/libre networks and software"
"3260","queer studies"
"3261","knowledge mobilization"
"3262","design"
"3263","physical & minimal computing"
"3264","embodied & haptic technologies"
"3265","wearable devices"
"3266","software studies"
"3267","eco-criticism"
"3268","black studies"
"3270","french"
"3271","corpus and text analysis"
"3272","design studies"
"3275","network analysis and graphs theory and application"
"3277","digital textualities"
"3279","scholarly publishing"
"3280","open content and open science"
"3281","informatics"
"3282","communication and media studies"
"3285","asia"
"3286","global"
"3287","contemporary"
"3288","curricular and pedagogical development and analysis"
"3291","annotation structures, systems, and methods"
"3292","software development, systems, analysis and methods"
"3293","humanities computing"
"3294","africa"
"3295","eco-criticism and environmental analysis"
"3296","rhetorical analysis"
"3297","5th-14th century"
"3298","attribution studies and stylometric analysis"
"3299","theology and religious studies"
"3300","15th-17th century"
"3301","18th century"
"3304","europe"
"3305","north america"
"3306","20th century"
"3307","19th century"
"3309","interface design, development, and analysis"
"3310","digital libraries creation, management, and analysis"
"3311","music and sound digitization, encoding, and analysis"
"3312","manuscripts description, representation, and analysis"
"3313","database creation, management, and analysis"
"3314","text encoding and markup language creation, deployment, and analysis"
"3315","virtual and augmented reality creation, systems, and analysis"
"3316","data publishing projects, systems, and methods"
"3317","sustainable procedures, systems, and methods"
"3318","metadata standards, systems, and methods"
"3319","digital publishing projects, systems, and methods"
"3320","copyright, licensing, and permissions standards, systems, and processes"
"3323","scholarly editing and editions development, analysis, and methods"
"3324","text mining and analysis"
"3327","comparative (2 or more geographical areas)"
"3328","public humanities collaborations and methods"
"3329","spatial & spatio-temporal analysis, modeling and visualization"
"3332","cultural analytics"
"3333","digital archiving"
"3334","bce-4th century"
"3335","meta-criticism (reflections on digital humanities and humanities computing)"
"3336","data modeling"
"3340","digital research infrastructures development and analysis"
"3341","digital access, privacy, and ethics analysis"
"3343","social media analysis and methods"
"3344","linked (open) data"
"3345","south america"
"3347","digital activism and advocacy"
"3349","information retrieval and querying algorithms and methods"
"3352","image processing and analysis"
"3357","bibliographic analysis"
