"word","word.lc","freq"
"digital","digital",7508
"data","data",5060
"humanities","humanities",4418
"text","text",4141
"research","research",4015
"project","project",2791
"analysis","analysis",2423
"information","information",2000
"history","history",1652
"corpus","corpus",1425
"social","social",1420
"tools","tools",1414
"cultural","cultural",1372
"language","language",1357
"historical","historical",1344
"literary","literary",1209
"methods","methods",1206
"results","results",1190
"network","network",1186
"study","study",1175
"image","image",747
"metadata","metadata",740
"learning","learning",722
"topic","topic",714
"recognition","recognition",363
"machine","machine",358
"modelling","modelling",212
"lab","lab",175
"control","control",147
"layout","layout",90
"versioning","versioning",6
"capta","capta",1
"makerspace","makerspace",1
"big data","big data",NA
"topic modelling","topic modelling",NA
"layout recognition","layout recognition",NA
"text recognition","text recognition",NA
"DH","dh",NA
"3D","3d",NA
"Darknet","darknet",NA
"fab lab","fab lab",NA
"version control","version control",NA
