"term","freq","freq.rel","freq.rel.100","freq.text.100"
"TEI",128,1,100,1.75438596491228
"XML",61,0.4765625,47.65625,0.836074561403509
"GIS",30,0.234375,23.4375,0.411184210526316
"Internet",25,0.1953125,19.53125,0.34265350877193
"LOD",25,0.1953125,19.53125,0.34265350877193
"NLP",24,0.1875,18.75,0.328947368421053
"Topic Modeling",24,0.1875,18.75,0.328947368421053
"ML",22,0.171875,17.1875,0.301535087719298
"OCR",19,0.1484375,14.84375,0.260416666666667
"DARIAH",18,0.140625,14.0625,0.246710526315789
"OA",14,0.109375,10.9375,0.191885964912281
"AI",12,0.09375,9.375,0.164473684210526
"R",12,0.09375,9.375,0.164473684210526
"IIIF",11,0.0859375,8.59375,0.150767543859649
"API",10,0.078125,7.8125,0.137061403508772
"Voyant",9,0.0703125,7.03125,0.123355263157895
"TXM",8,0.0625,6.25,0.109649122807018
"NER",7,0.0546875,5.46875,0.0959429824561403
"P5",7,0.0546875,5.46875,0.0959429824561403
"RDF",7,0.0546875,5.46875,0.0959429824561403
"HTR",6,0.046875,4.6875,0.0822368421052631
"network analysis",6,0.046875,4.6875,0.0822368421052631
"Pliny",6,0.046875,4.6875,0.0822368421052631
"CLARIN",5,0.0390625,3.90625,0.068530701754386
"CTS",5,0.0390625,3.90625,0.068530701754386
"DTD",5,0.0390625,3.90625,0.068530701754386
"LDA",5,0.0390625,3.90625,0.068530701754386
"Neural Networks",5,0.0390625,3.90625,0.068530701754386
"Sentiment Analysis",5,0.0390625,3.90625,0.068530701754386
"text mining",5,0.0390625,3.90625,0.068530701754386
"Toolbox",5,0.0390625,3.90625,0.068530701754386
"Word Embeddings",5,0.0390625,3.90625,0.068530701754386
"WWW",5,0.0390625,3.90625,0.068530701754386
"XQuery",5,0.0390625,3.90625,0.068530701754386
"distant reading",4,0.03125,3.125,0.0548245614035088
"FAIR",4,0.03125,3.125,0.0548245614035088
"Juxta",4,0.03125,3.125,0.0548245614035088
"MEI",4,0.03125,3.125,0.0548245614035088
"ODD",4,0.03125,3.125,0.0548245614035088
"Omeka",4,0.03125,3.125,0.0548245614035088
"Stylo",4,0.03125,3.125,0.0548245614035088
"SVG",4,0.03125,3.125,0.0548245614035088
"Annotation Studio",3,0.0234375,2.34375,0.0411184210526316
"CATMA",3,0.0234375,2.34375,0.0411184210526316
"CWRC-Writer",3,0.0234375,2.34375,0.0411184210526316
"GitHub",3,0.0234375,2.34375,0.0411184210526316
"METS",3,0.0234375,2.34375,0.0411184210526316
"OWL",3,0.0234375,2.34375,0.0411184210526316
"TextGrid",3,0.0234375,2.34375,0.0411184210526316
"XSL",3,0.0234375,2.34375,0.0411184210526316
"CLARIAH",2,0.015625,1.5625,0.0274122807017544
"Drupal",2,0.015625,1.5625,0.0274122807017544
"ELAN",2,0.015625,1.5625,0.0274122807017544
"IncipitSearch",2,0.015625,1.5625,0.0274122807017544
"Java",2,0.015625,1.5625,0.0274122807017544
"MySQL",2,0.015625,1.5625,0.0274122807017544
"PCA",2,0.015625,1.5625,0.0274122807017544
"SPARQL",2,0.015625,1.5625,0.0274122807017544
"SPSS",2,0.015625,1.5625,0.0274122807017544
"stylometry",2,0.015625,1.5625,0.0274122807017544
"Textual Communities",2,0.015625,1.5625,0.0274122807017544
"Versioning Machine",2,0.015625,1.5625,0.0274122807017544
"XSLT",2,0.015625,1.5625,0.0274122807017544
"BERT",1,0.0078125,0.78125,0.0137061403508772
"CARE",1,0.0078125,0.78125,0.0137061403508772
"CollateX",1,0.0078125,0.78125,0.0137061403508772
"CorA",1,0.0078125,0.78125,0.0137061403508772
"eLaborate",1,0.0078125,0.78125,0.0137061403508772
"FromThePage",1,0.0078125,0.78125,0.0137061403508772
"GAMS",1,0.0078125,0.78125,0.0137061403508772
"Gephi",1,0.0078125,0.78125,0.0137061403508772
"GUI",1,0.0078125,0.78125,0.0137061403508772
"Image Markup Tool",1,0.0078125,0.78125,0.0137061403508772
"LERA",1,0.0078125,0.78125,0.0137061403508772
"MALLET",1,0.0078125,0.78125,0.0137061403508772
"MARC",1,0.0078125,0.78125,0.0137061403508772
"NoSQL",1,0.0078125,0.78125,0.0137061403508772
"Python",1,0.0078125,0.78125,0.0137061403508772
"ResearchSpace",1,0.0078125,0.78125,0.0137061403508772
"RESTful",1,0.0078125,0.78125,0.0137061403508772
"SKOS",1,0.0078125,0.78125,0.0137061403508772
"SpaCy",1,0.0078125,0.78125,0.0137061403508772
"SPEEDy",1,0.0078125,0.78125,0.0137061403508772
"TCP",1,0.0078125,0.78125,0.0137061403508772
"Terminal",1,0.0078125,0.78125,0.0137061403508772
"Transcribo",1,0.0078125,0.78125,0.0137061403508772
"Transkribus",1,0.0078125,0.78125,0.0137061403508772
"TUSTEP",1,0.0078125,0.78125,0.0137061403508772
"WissKI",1,0.0078125,0.78125,0.0137061403508772
"word2vec",1,0.0078125,0.78125,0.0137061403508772
"XTriples",1,0.0078125,0.78125,0.0137061403508772
"Zooniverse",1,0.0078125,0.78125,0.0137061403508772
