"source","target","weight"
"10157","Overview",1
"10158","Omeka",1
"10162","YouTube",3
"10164","Twitter",2
"10179","Skype",1
"10180","Tumblr",1
"10181","Google",1
"10181","YouTube",1
"10182","Google",1
"2156","Topic",1
"2157","D3.js",1
"2157","JavaScript",2
"2157","Juxta",3
"2157","Origin",1
"2157","fixed",1
"2159","Paper",1
"2163","R",1
"2165","ArcGIS",1
"2165","Excel",3
"2165","Google",4
"2165","Twitter",4
"2165","YouTube",3
"2166","CollateX",1
"2166","Juxta",1
"2166","TRAViz",7
"2166","Versioning Machine",1
"2166","fixed",1
"2167","Google Scholar",2
"2168","Processing",1
"2168","fixed",1
"2171","Gephi",2
"2171","Overview",1
"2174","Alveo",6
"2174","Blacklight",1
"2174","JavaScript",1
"2174","Solr",1
"2175","Ruby",1
"2176","GeoNames",1
"2180","fixed",1
"2182","TreeTagger",2
"2183","Freebase",1
"2183","R",1
"2186","Google",2
"2187","Processing",1
"2191","Paper",3
"2191","R",11
"2191","Twitter",3
"2191","YouTube",1
"2194","Cytoscape",1
"2194","Exhibit 3.0",1
"2194","Gephi",1
"2194","Google",2
"2194","IsaViz",2
"2194","LodLive",1
"2194","NeOn Toolkit",2
"2194","OntoViz",2
"2194","Prefuse",1
"2194","ProcessingJS",1
"2194","Protovis",1
"2194","Protégé",1
"2194","RDF Gravity",1
"2194","RelFinder",1
"2194","SemLens",1
"2194","Tableau Public",1
"2194","Visual Browser",1
"2194","Wiki Map Project",1
"2194","gFacet",1
"2194","tFacet",1
"2196","NodeXL",10
"2196","Palladio",1
"2196","Papers",1
"2196","Protovis",1
"2196","VisualEyes",11
"2199","WordPress",1
"2201","fixed",1
"2203","Twitter",1
"2204","Topic",3
"2205","fixed",1
"2206","Mallet",1
"2206","Topic",2
"2206","fixed",4
"2206","word2vec",1
"2208","fixed",2
"2209","R",1
"2211","Excel",1
"2211","OpenRefine",1
"2212","Excel",1
"2212","Google Books",1
"2213","Papers",1
"2213","Prism",3
"2213","Projects",2
"2213","R",2
"2213","Summarize",1
"2213","Topic",1
"2214","DARIAH-DE Collection Registry",1
"2215","Tumblr",2
"2216","JavaScript",1
"2216","Palladio",1
"2220","fixed",1
"2222","Silk",3
"2225","Blender",1
"2225","Second Life",1
"2225","Unity",1
"2227","YouTube",4
"2228","Python",1
"2228","igraph",1
"2229","Processing",1
"2229","Topic",10
"2236","Chrome",1
"2236","Firefox",1
"2236","Overview",1
"2236","Processing",2
"2237","JavaScript",1
"2237","Overview",1
"2237","Tesseract",1
"2238","SNAP",1
"2239","VARD",6
"2239","Voyant Tools",3
"2239","fixed",1
"2240","Python",1
"2242","Overview",1
"2242","Processing",1
"2242","TF-IDF",1
"2242","Topic",1
"2245","JavaScript",2
"2245","PostgreSQL",1
"2245","SARIT",1
"2245","fixed",1
"2246","Bookworm",11
"2246","Google",2
"2246","Google Books",1
"2246","HathiTrust Digital Library",1
"2246","Solr",1
"2247","Overview",1
"2247","Topic",3
