Nr.;Titel;Story;Perspektive;Perspektive;Perspektive;Perspektive;Schlagwörter;Schlagwörter;Schlagwörter;Schlagwörter;TA 1;TA 2;TA 3;TA 4;TA 5;TA 6;4Memory Website URL;Notiz;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings
1;"Transformation ""wild"" gewachsener Datenbestände, nichts ist FAIR";Mein Aufgabenschwerpunkt an einem Lehrstuhl der Geschichtswissenschaften ist die Konzeption unserer digitalen Projekte (vorrangig digitales Publizieren, digitale Wissensvermittlung) sowie die Koordination von deren Umsetzung durch unterschiedliche Teams. Seit Ende 2019 befassen mich die Daten einer vor einigen Jahren begonnenen Erschließung eines umfangreichen und sehr heterogenen Korrespondenzbestandes von Ende des 18. Jh./Anfang des 19. Jh. Ursprüngliches Ziel war, den Materialbestand mit einer ersten Roherschließung der Metadaten zu dokumentieren als Grundlage für eine Antragstellung auf Förderung einer digitalen Edition der Korrespondenzen. Das zu Beginn der Arbeiten vorrangig inhaltliche Interesse und eine stark editorische Sichtweise auf die Korrespondenzen haben Fragen des Forschungsdatenmanagements nicht weitreichend genug berücksichtigt. In der Folge wurden Rohdaten erhoben und in einer für die weitere Datenbe- und -verarbeitung nicht geeigneten Form dokumentiert. Das Ende des Dienstverhältnisses des Hauptbearbeiters führte dazu, dass das ursprüngliche Projektziel des Antrags auf Förderung einer digitalen Edition nur noch mit geringen Bordmitteln von verschiedenen BearbeiterInnen, die etwas Zeit erübrigen konnten, betrieben wurde. Formale Erfassungsstandards wurden nicht mehr konsequent angewendet bzw. nachgehalten und haben am Ende zu einer umfangreichen, aber qualitativ äußerst heterogenen Datenlage geführt. 2019 wurde meinem Vorschlag zugestimmt, das ursprüngliche Projektziel umzudefinieren und anstelle einer digitalen Edition die erhobenen Daten aufgrund ihres Umfangs und Potenzials in Form eines Metadatenkatalogs recherchierbar und nachnutzbar zu machen. Ich habe die Rolle der Datenkuratorin übernommen und in Zusammenarbeit mit der ansässigen Bibliothek, einer digitalen Expertin und wiss. MitarbeiterInnen ein erweitertes Datenmodell entwickelt, habe den ersten Teil der Rohdaten in Excel standardisiert und transformiert für die Übernahme in ein neues Datenbanksystem und koordiniere das Team, das den weiteren wiss. Abgleich der Datensätze bzw. Metadaten am Material vornimmt.</br>Das alles wäre im Nachhinein deutlich weniger mühsam und ressourcenaufwändig, wären die Rohdaten zumindest in einer nachnutzbaren Struktur dokumentiert gewesen. Aus meiner Sicht sind zwei Dinge unbedingt erforderlich: Projekte, in denen Daten generiert werden, brauchen von Anfang an professionelle Begleitung durch Infrastrukturpartner, die sich auch als Dienstleister der WissenschaftlerInnen verstehen wollen. Wir brauchen AnsprechpartnerInnen im IT-Bereich. Parallel dazu müssen die historisch arbeitenden GeisteswissenschaftlerInnen selbst ausreichende Kompetenzen im Umgang mit Forschungsdaten entwickeln, um überhaupt sprechfähig zu sein: Welche Daten erheben wir, welche Fragen haben wir am Ende an die Daten und welches Datenmodell brauchen wir dafür, welche Datenstandards müssen wir berücksichtigen, um Auswertung und Nachnutzung zu ermöglichen? In welchen zeitlichen Dimensionen bewegen wir uns? Was soll am Ende mit den Daten passieren? Das können und sollen uns InfrastrukturpartnerInnen nicht abnehmen.;datacollection;dataprocessing;datapublication;datareuse;heterogene Datenlage;Datenmanagementplan;Kooperation Wissenschaft-IT;0;1;2;3;4;;;https://4memory.de/problem-stories-overview/1-transformation-wild-gewachsener-datenbestande-nichts-ist-fair/;;Datentypen;;;Kompetenzen;;Langzeitverfügbarkeit;;;Methoden;Modellierung;Qualität;Ressourcen;;Standards
2;Linked Data ja, aber wie?;Als Forscher an einer fachwissenschaftlichen Einrichtung bin ich an einem kunsthistorischen Projekt beteiligt, das sich mit außereuropäischem Material beschäftigt. Wir möchten gerne Kunstwerke inhaltlich klassifizieren, aber die bestehenden (oft eurozentrischen) Vokabulare (IconClass, Getty) decken unser Material nicht ab. Wir brauchen also ein eigenes Vokabular, das aber möglichst (da, wo es Überschneidungen gibt) Cross-Links zu bestehenden Vokabularen bietet. Dafür steht an unserer Einrichtung keine Software bereit, und die typischen Lösungen (wie z.B. VocBench) sind kompliziert aufzusetzen.</br>Noch schwieriger wird es bei komplexeren Datenstrukturen, wie z.B. historischen Gazetteers, deren Modell noch etwas komplizierter ist als das eine Thesaurus. Hier bestehen z.B. mit LinkedPlaces gute Referenzformate, aber keine Tools, um komplatible Daten nutzerfreundlich zu erstellen.</br>Neben dem Editor für die Vokabulare selbst ist es für LinkedData natürlich auch notwendig, stabile URIs zu verwenden. Und auch wenn diese als Identifier nicht unbedingt auf eine tatsächliche Ressource verweisen müssen, ist es doch gute Praxis, dass die URIs auflösen und auf menschen- sowie maschinenlesbare Dokumentation verweisen. Unsere Einrichtung selbst kann dafür nicht die Gewähr der Dauer bieten. Also wäre ein Handle-System sowie ein System zur Generierung von Dokumentation für Vokabularen zusätzlich nützlich.;datacollection;datapublication;0;0;Linked Open Data;Gazetteer;Permanent Identifier;0;1;2;3;;;;https://4memory.de/problem-stories-overview/2-linked-data-ja-aber-wie/;;;;;;Kuration;Langzeitverfügbarkeit;;;;Modellierung;;;Softwarepflege;Standards
3;Archiv-Metadaten in XML-Format verfügbar machen;Metadaten in Archivportalen bzw. in den Online-Findmitteln der Archive liegen als strukturierte Daten in den dahinter liegenden Datenbanken. Die Struktur der Metadaten folgt meistens dem internationalen Erschließungsstandard ISAD(G) mit dem dazu korrespondierenden Metadatenschema EAD. Dennoch lassen sich Archiv-Metadaten meistens nicht in strukturierter Form als XML-Datei, bspw. im EAD-Format, herunterladen und weiter verwerten, z.B. in ein Literaturverwaltungsprogramm einfügen: 1. weil die erforderliche Funktion von den Archivportalen/Online-Findmitteln nicht bereit gestellt wird, 2. weil die Literaturprogramme das EAD-Format nicht unterstützen. Auch die denkbare datenbankgestützte Auswertung dieser Metadaten hat entsprechend ihre Grenzen. Derzeit lassen sich in manchen Archivportalen/ Online-Findmitteln die Archiv-Metadaten als PDF-Dokument ausdrucken.</br>Zielstellung: strukturierte Archiv-Metadaten lassen sich in Literaturverwaltungsprogramme importieren, am besten zusammen mit einem verfügbaren Digitalisat. Erforderlich sind dazu aber nicht nur Metadaten zu dem Objekt selbst, sondern auch die Kontextinformationen sowie die Metadaten zu dem Digitalisat selbst.;datareuse;0;0;0;Archiv;EAD;Literaturverwaltungsprogramm;0;1;;3;;;;https://4memory.de/problem-stories-overview/3-archiv-metadaten-in-xml-format-verfugbar-machen/;;Datentypen;;Internationalität;;;Langzeitverfügbarkeit;;;Methoden;;;;;Standards
4;Wie kann unser Portal mit wertvollen Forschungsdaten in zehn Jahren noch benutzt werden?;Als Verantwortlicher für die digitale Bereitstellung der Forschungsergebnisse in einer außeruniversitären Forschungseinrichtung bin ich für das langfristige Angebot, die Bereitstellung und Verfügbarkeit der Daten verantwortlich. Wir bieten online Themenportale mit Forschungsdaten an, die in der Regel über eine Suchmaske und einen Index erschlossen sind und z.B. auch im Kontext einer Karte angezeigt werden können. Wir möchten sicherstellen, dass die Daten auch noch in zehn oder 20 Jahren verwendet werden können, und zwar mit den Verknüpfungen und Querverweisen, die wir über die bei der Bereitstellung verwendeten Software erzeugen. Zwar nutzen viele Projekte inzwischen XML kodierte Daten nach dem TEI Standard, aber die Software zu Bereitstellung der Daten und einer benutzerfreundlichen Umgebung muss permanent gepflegt und angepasst werden, um z.B. Sicherheitsupdates in der verwendeten Software oder den Programmiersprachen zu gewährleisten. Zudem bestehen vielfältige Abhängigkeiten zwischen den verwendeten Programmpaketen. Teilweise werden die Daten auch unter Verwendung von Content Management Systemen angeboten oder sind darin eingebettet. Wie können wir sicherstellen, dass unsere Themenportale, die teilweise Ergebnisse jahrzehntelanger Forschungsarbeit präsentieren und bereitstellen, auch in Zukunft für Forscherinnen und Forscher mit einem individuell zum Thema passenden und die spezifische Datenstruktur abbildenden Interface nutzbar sind?;datapublication;0;0;0;Themenportale;Langzeitverfügbarkeit;Präsentation;0;;;3;;;;https://4memory.de/problem-stories-overview/4-wie-kann-unser-portal-mit-wertvollen-forschungsdaten-in-zehn-jahren-noch-benutzt-werden/;;;;;Kompetenzen;;Langzeitverfügbarkeit;;;;;;;Softwarepflege;Standards
5;Sicherung der Nachhaltigkeit von MyCoRe-Daten;An meiner Institution baue ich seit 2012 ein umfangreiches Informationssystem im MyCoRe System auf. Um das System dauerhaft nutzbar zu halten, ist in den nächsten Monaten dringend ein systemtechnisches Update des Informationssystems nötig, d.h. es müsste auf die nächste Version von MyCoRe übertragen werden.</br>Hierzu sind Mittel in Höhe einer halben Informatikerstelle für ein halbes Jahr nötig, Kapazitäten, die weder bei mir am Lehrstuhl noch im Rechenzentrum unserer Universität vorgehalten werden. Nun ist MyCoRe in Deutschland recht gebräuchlich, es kommt in rund 70 Anwendungen zum Einsatz, wo wahrscheinlich ähnliche Bedarfe anfallen. Meine Frage ist, ob hier nicht in punkto Finanzierung, Aufbau einer Koordinationsstelle und technische Umsetzung eine anwendungsübergreifende Lösung bereitgestellt werden könnte, die es den individuellen Projektleitern auf einfachere Weise ermöglichen würde, diese Updates durchzuführen.;datareuse;datapublication;0;0;Nachnutzbarkeit;Systempflege;anwendungsübergreifende Lösungen;0;;;3;;;6?;https://4memory.de/problem-stories-overview/5-sicherung-der-nachhaltigkeit-von-mycore-daten/;;;;;;;Langzeitverfügbarkeit;;;;;;Ressourcen;;
6;Archivische Forschungsdaten massenhaft mit zukunftsfähigen Normdaten anreichern;Als Archiv stellen wir massenhaft Erschließungsinformationen zu Archivgut im Sinne von primären Forschungsdaten im Internet bereit. Diese und weitere, noch nicht online veröffentlichte digitale Erschließungsinformationen liegen in sehr großer Zahl und unterschiedlicher Datenqualität vor. Eine Herausforderung ist die nachträgliche Anreicherung mit zukunftsfähigen Normdaten im Interesse einer vernetzten Recherche. Dabei bestehen zwei weisentliche Herausforderungen: </br>1. Benötigt werden Tools zur nachträglichen, automatisierten Anreicherung von Erschließungsinformationen in Archivinformationssystemen und den daraus zu exportierenden Onlineressourcen. </br>2. Während für Personen mit der GND ein anerkanntes Normdatensystem bereits institutionenübergreifend anerkannt ist, fehlt hinsichtlich von Geografika, Regional- und Gebietseinheiten noch eine vergleichbare Verbindlichkeit (z.B. GND, Amtliche Gemeindeschlüssel, Georeferenzierung).;datapublication;datareuse;0;0;Archiv;Normdaten;Datenanreicherung;0;1;2;3;;;;https://4memory.de/problem-stories-overview/6-archivische-forschungsdaten-massenhaft-mit-zukunftsfahigen-normdaten-anreichern/;;Datentypen;;;Kompetenzen;;Langzeitverfügbarkeit;;;Methoden;;;;Softwarepflege;Standards
7;Lizenzen;Als Lehrstuhl einer Hochschule forschen wir auch mit und an Werkzeugen aus dem Bereich der automatisierten Auswertung von Datenbeständen. Ein wesentlicher Teil der Datenbestände sind digitalisierte Textkorpora, die zumeist in einem Textformat, wie beispielsweise XML, vorliegen, die aber für die Analysen in andere Dateiformate konvertiert werden müssen. Einige der Korpora unterlagen und unterliegen einer Lizenzpflicht. Dies bedeutet, sie dürfen nur dann von einer Person benutzt werden, wenn deren Institution (zum Beispiel über die UB) oder sie selbst eine kostenpflichtige Lizenz erworben hat. Die Lizenzen sind meist zeitlich begrenzt.</BR>Um die Analyseergebnisse der automatisierten Auswertung der Textbestände nach den FAIR-Prinzipien langfristig zur Verfügung zu stellen, ist es notwendig, die Rohdaten, also die Korpora selbst, einzubeziehen. Es ist für uns schwer nachvollziehbar, welche praktischen Konsequenzen § 60d Urheberrechtsgesetz, speziell Absatz 3, für die Ausgestaltung dieser Prinzipien bei Textkorpora hat, die einer Lizenzpflicht unterlagen oder noch unterliegen. Einerseits soll das Korpus und dessen Vervielfältigungen nach Abschluss der Forschungsarbeiten gelöscht werden, andererseits darf es von den in den §§ 60e und 60f genannten Institutionen dauerhaft aufbewahrt werden. Zu den in 60f benannten Bildungseinrichtungen gehören laut Definition in § 60a Absatz 4 beispielsweise auch Hochschulen. Nach dieser Lesart dürften die Korpora und deren Vervielfältigungen auf hochschuleigenen Servern dauerhaft gespeichert werden. Das Aufbewahren an sich ermöglicht jedoch noch nicht den Zugang, da dieser nur über eine Bezahlschranke möglich ist. Ohne eine gültige Lizenz darf der Zugang zu den Rohdaten nicht gewährt werden.</br>Es erscheint insgesamt fragwürdig, wie die Qualität wissenschaftlicher Forschung bei automatisierten Analyseverfahren überprüf- und nachnutzbar gehalten werden kann, wenn ein wesentlicher Bestandteil der Forschung, die Rohdaten selbst, nicht zugänglich gemacht werden darf bzw. bei Nachnutzung durch den Erwerb einer Lizenz erst „hinzugekauft“ werden muss.;0;0;0;0;0;0;0;0;1?;;;;5;6?;https://4memory.de/problem-stories-overview/7-lizenzen/;Rechte;Datentypen;;;;Kuration;Langzeitverfügbarkeit;Lizenzen;;Methoden;;Qualität;;Softwarepflege;Standards
8;Anonymisierung qualitativ-empirischer Daten;Als Nachwuchswissenschaftlerin bin ich bereits bei der Antragstellung von Drittmittelanträgen zur reflektierten Darstellung meines Forschungsdatenmanagements angehalten. Gewünscht wird eine nachnutzbare Aufbereitung und Aufbewahrung meines empirisch-qualitativen Datenmaterials, dass sowohl Interviews als auch Notizen aus teilnehmender Beobachtung umfasst. Gern bin ich bereit, mein Material zur Nachnutzung unter gewissen Umständen zur Verfügung zu stellen. Allerdings lassen sich vor allem in Audio-/Videodateien personenbezogene Angaben kaum anonymisieren. Damit kann bei der Bereitstellung des Materials auch kein Datenschutz der Informant*innen garantiert werden, wodurch ich meine Integrität zweifelhaft würde.;datapublication;0;0;0;Anonymisierung;empirisch-qualitativ;Datenschutz;0;;;;;;;https://4memory.de/problem-stories-overview/8-anonymisierung-qualitativ-empirischer-daten/;;Datentypen;;;;Kuration;Langzeitverfügbarkeit;Lizenzen;;Methoden;;;;;
9;Archivquellen - Zusammenarbeit mit vielen unterschiedlichen Archiven;"In einem größeren Forschungsprojekt arbeite ich mit Quellen ganz unterschiedlicher Provenienz, z.B. aus Zeitungsdatenbanken (Online-Archive von ""Der Spiegel"", ""Die Zeit"", aber auch Zeitungen aus dem Ausland; daneben Fernseh- und Rundfunk-Archive, das Bundesarchiv etc. Ich werte Zeitungsartikel, Protokolle von Bundestagsreden, Akten aus verschiedenen Ministerien, Fernsehserien u.v.m. als Quellen aus, und zwar qualitativ. Wie kann ich daraus einen Quellenkorpus machen, der so einheitlich ist, dass er sich irgendwie zur Nachnutzung aufbereiten lässt? Und wie kann ich die Archive, die ja die Rechteinhaber sind, mit ins Boot holen? Meine Idealvorstellung wäre ein E-book, in dem alle Quellenangaben in den Fußnoten ""klickbar"" sind, d.h. man kommt mit einem Klick zum Original.";datapublication;0;0;0;Zusammenarbeit Archive;Unterschiedliche Qualität der Quellen;0;0;1;2;;;;;https://4memory.de/problem-stories-overview/9-archivquellen-zusammenarbeit-mit-vielen-unterschiedlichen-archiven/;;;;;;Kuration;Langzeitverfügbarkeit;;;Methoden;;Qualität;;;
10;Erstellung und Mapping von Referenzvokabularen;Als Spezialbibliothek erzeugen wir mit OCR Volltexte unserer digitalisierten Quellen für die Forschung. Mit digitalisierten und auf Lemma-Ebene erschlossenen Fachlexika (19. Jh) verfügen wir über zeitspezifisches Vokabular. Bislang fehlt es an Kapazitäten, dieses Vokabular als Gazetteer oder Ontologie aufzubereiten und für die automatische Analyse der Volltexte zur Verfügung zu stellen, also Vokabulare als Forschungsdateninfrastrukturleistung zu entwickeln. Weder für die Infrastrukureinrichtung (Bibliothek) noch für Wissenschaftler*innen existieren günstige Rahmenbedingungen (Finanzierung, wissenschaftliche Anerkennung) für solche fachlich spezialisierte Infrastrukturleistungen an der Schnittstelle zwischen historischer Subdisziplin, Informationswissenschaft und Data Science.;datacollection;datapublication;0;0;Thesaurus;Ontologie;Vokabular;Infrastruktur;;2;3;;;;https://4memory.de/problem-stories-overview/10-erstellung-und-mapping-von-referenzvokabularen/;;;;;;;Langzeitverfügbarkeit;;;Methoden;;;Ressourcen;;Standards
