"concept.code","no.tools"
"analyzing",1391
"contentAnalysis",478
"dataVisualization",370
"annotating",301
"capturing",300
"visualAnalysis",290
"discovering",274
"collaborating",253
"enriching",251
"disseminating",240
"gathering",225
"publishing",225
"creating",204
"organizing",197
"storing",137
"webDevelopment",113
"sharing",93
"programming",88
"editing",87
"networkAnalysis",80
"interpreting",69
"communicating",56
"dataCleansing",55
"archiving",54
"writing",54
"modeling",43
"converting",36
"commenting",34
"designing",29
"spatialAnalysis",29
"relationalAnalysis",27
"structuralAnalysis",27
"crowdsourcing",26
"parsing",25
"identifying",23
"contextualizing",22
"preserving",21
"transcribing",20
"imaging",19
"recording",19
"stylisticAnalysis",19
"searching",18
"comparing",17
"tagging",15
"concordance",13
"collating",12
"dataRecognition",11
"translating",11
"blogging",10
"browsing",10
"lemmatizing",10
"migration",10
"screencast",10
"encoding",9
"namedEntityRecognition",9
"teaching",9
"naturalLanguageProcessing",8
"transformation",8
"webCrawling",8
"versioning",6
"collecting",5
"diagramming",5
"discourseAnalysis",5
"linkedOpenData",5
"mapping",4
"posTagging",4
"scanning",4
"stylometry",4
"aggregating",3
"cataloging",3
"coOccurrence",3
"dataIngestion",3
"dataMapping",3
"drawing",3
"georeferencing",3
"knowledgeDiscovery",3
"microblogging",3
"sentimentAnalysis",3
"wireframing",3
"bitStreamPreservation",2
"description",2
"digitalObjectIdentifier",2
"digitalPublishing",2
"informationRetrieval",2
"opticalCharacterRecognition",2
"theorizing",2
"webScraping",2
"academicPublishing",1
"audioAnnotation",1
"compiling",1
"conceptualizing",1
"explanation",1
"exploration",1
"extracting",1
"finding",1
"integrating",1
"managing",1
"merging",1
"persistentIdentifier",1
"socialNetworking",1
"speechRecognizing",1
"textCategorization",1
"topicModeling",1
"visualAnnotation",1
