"informationContributor.id","informationContributor.username","no.tools"
5,"System moderator",1066
4,"System importer",340
1,"Administrator",105
65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",69
107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",35
207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",13
779,"f4548688d9aa2fe06889a756be4732a46fb2e64960bfc1dc03868c120faa290c@aai.eosc-portal.eu",12
909,"76b020ea2b33d969eae993ed22413bdc5ff81f1a532d50fc902fd84382fcc382@aai.eosc-portal.eu",11
777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",6
786,"3b1da5a074ae4be84a2b95e3710e63f33e18e2df@eduteams.org",4
264,"375705ce1b4f3e660ff1981587d410f3e9475f6be05e7a8f5a0032c054348748@dariah.eu",3
762,"2831d719344621627b613bf8b39f950500dc15f9afcfb544b335632a5f5ba40a@aai.eosc-portal.eu",3
2,"Moderator",2
860,"7b551a7f9591f5f80296a2387556252bb30d20967d3c0c777b880761d7a7e664@aai.eosc-portal.eu",2
912,"102696928498913728364@google.com",2
913,"9cbc2301d28e1573172f25597577b56cb86fff78141712e611e12f4678b20b33@aai.eosc-portal.eu",2
157,"763b0b7d12b0ff7629e2de777dd6d10715e55c4f60d5485eb27602c77c28c997@dariah.eu",1
257,"0000-0001-9288-2888@orcid.org",1
260,"268b5821aa730c9868f8d341b983c23af2a7c8272f0100fe38e6b47d837ed143@dariah.eu",1
307,"639e26d6765c4918ad41e8dbfa210d91@eudat.eu",1
674,"105729905308061393541@google.com",1
774,"104991793678547226149@google.com",1
776,"0000-0002-5851-5643@orcid.org",1
780,"113575597226772854643@google.com",1
859,"0000-0001-9422-1418@orcid.org",1
936,"adf7d07d1e09d7f53d0aacb696e85fb83099e5d74ad4d3bdbe8dd4082faf04c5@dariah.eu",1
1010,"111618135605349851906@google.com",1
1027,"435fad30a426313c28802b4b1584eb205e99dd9ac04ca065f37809ef1f8dfe4d@aai.eosc-portal.eu",1
