"date","informationContributor.id","informationContributor.username","source.id","source.label","no.tools"
2021-06-22,4,"System importer",3,"SSK Zotero Resources",9
2021-06-23,4,"System importer",3,"SSK Zotero Resources",1
2021-07-22,4,"System importer",104,"SSHopencloud Service Catalogue",9
2021-10-13,4,"System importer",52,"Language Resource Switchboard",10
2021-10-15,4,"System importer",52,"Language Resource Switchboard",33
2021-11-23,4,"System importer",1,"TAPoR",157
2021-11-29,5,"System moderator",1,"TAPoR",1
2021-11-29,5,"System moderator",52,"Language Resource Switchboard",1
2021-12-13,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,3
2022-01-05,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",52,"Language Resource Switchboard",1
2022-01-05,264,"375705ce1b4f3e660ff1981587d410f3e9475f6be05e7a8f5a0032c054348748@dariah.eu",1,"TAPoR",1
2022-01-06,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",52,"Language Resource Switchboard",1
2022-01-07,1,"Administrator",NA,NA,1
2022-01-10,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,3
2022-01-10,264,"375705ce1b4f3e660ff1981587d410f3e9475f6be05e7a8f5a0032c054348748@dariah.eu",1,"TAPoR",1
2022-01-11,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,4
2022-01-12,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2022-01-13,4,"System importer",3,"SSK Zotero Resources",111
2022-01-13,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2022-01-14,2,"Moderator",1,"TAPoR",1
2022-01-14,4,"System importer",202,"EOSC Catalogue",10
2022-01-14,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2022-01-17,1,"Administrator",52,"Language Resource Switchboard",2
2022-01-17,1,"Administrator",NA,NA,13
2022-01-17,5,"System moderator",52,"Language Resource Switchboard",1
2022-01-17,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,4
2022-01-20,2,"Moderator",1,"TAPoR",1
