"id","label","persistentId","identifierService.code","identifier","identifierService.urlTemplate"
44366,"960 Grid System","uo4gCA","GitHub","nathansmith/960-Grid-System","https://github.com/{source-item-id}"
44379,"Active Server Pages (ASP)","j8MRN1","GitHub","aspnet","https://github.com/{source-item-id}"
40836,"Adobe Acrobat Reader","nMm0wM","Wikidata","Q2634567","https://www.wikidata.org/wiki/{source-item-id}"
44394,"A-frame","2zIseh","GitHub","aframevr/aframe/","https://github.com/{source-item-id}"
44412,"Altmetric","tNPMTo","GitHub","altmetric","https://github.com/{source-item-id}"
48200,"AMADO-online","spdPRI","GitHub","paristimemachine/amado-online","https://github.com/{source-item-id}"
49904,"Annotum","DE6qsb","GitHub","Annotum/Annotum","https://github.com/{source-item-id}"
44505,"Archivematica","sYLKsH","GitHub","artefactual/archivematica","https://github.com/{source-item-id}"
44515,"Aruspix","s4aKf4","GitHub","DDMAL/aruspix","https://github.com/{source-item-id}"
48489,"nodegoat","Z49P9t","GitHub","nodegoat","https://github.com/{source-item-id}"
45988,"NodeXL","1MMf0s","Wikidata","Q16958587","https://www.wikidata.org/wiki/{source-item-id}"
46005,"Notational Velocity","t6et8b","GitHub","scrod/nv/","https://github.com/{source-item-id}"
49646,"OCR4all Optical Character Recognition (and more) for everyone","FDey9y","GitHub","OCR4all","https://github.com/{source-item-id}"
48210,"Omeka","Ov8Pwn","GitHub","omeka/Omeka","https://github.com/{source-item-id}"
47702,"OpenAtlas","ex6SOR","doi","10.5281/zenodo.7125224","https://doi.org/{source-item-id}"
47702,"OpenAtlas","ex6SOR","GitHub","craws/OpenAtlas","https://github.com/{source-item-id}"
46068,"Open Harvester Systems","3Lswps","GitHub","pkp/harvester","https://github.com/{source-item-id}"
46071,"Open Journal Systems","4g9hEL","GitHub","pkp/ojs","https://github.com/{source-item-id}"
46073,"OpenLayers","aQjhJk","GitHub","openlayers/openlayers","https://github.com/{source-item-id}"
46081,"Open Science Framework","ROkULj","GitHub","CenterForOpenScience/osf.io","https://github.com/{source-item-id}"
47824,"Opentheso","FrXV0N","GitHub","miledrousset/Opentheso2","https://github.com/{source-item-id}"
48515,"Palladio","xy9wA4","GitHub","humanitiesplusdesign/palladio","https://github.com/{source-item-id}"
46144,"Panda Dataframe Manipulation","oBg7Vv","GitHub","TAPoR-3-Tools/Tapor-Coding-Tools","https://github.com/{source-item-id}"
49803," Parser TEI-Neo4j Import","Mnxvxr","GitHub","https://pypi.org/project/tei2neo/","https://github.com/{source-item-id}"
46164,"Participad","6wZpca","GitHub","boonebgorges/participad","https://github.com/{source-item-id}"
49816,"Parzu","UQ3qhT","GitHub","https://github.com/rsennrich/parzu","https://github.com/{source-item-id}"
46178,"PDFCreator","P928Fj","GitHub","pdfforge/PDFCreator","https://github.com/{source-item-id}"
46186,"PDFsam (PDF Split and Merge)","kdp7gj","GitHub","torakiki/pdfsam","https://github.com/{source-item-id}"
46189,"Perl","KmAwe6","GitHub","Perl/perl5","https://github.com/{source-item-id}"
46194,"PhiloGL","kBjYmC","GitHub","senchalabs/philogl","https://github.com/{source-item-id}"
47677,"Pictor: A Discovery Tool for IIIF Manifests","qYgQCK","GitHub","https://github.com/TomDeneire/pictor#readme","https://github.com/{source-item-id}"
46247,"Plone","WscQrC","GitHub","plone","https://github.com/{source-item-id}"
27841,"Plotting Characteristic Curve of Word Lengths","hif5JG","GitHub","TAPoR-3-Tools/Tapor-Coding-Tools","https://github.com/{source-item-id}"
28028,"Plotting Distribution","f5cwKZ","GitHub","TAPoR-3-Tools/Tapor-Coding-Tools","https://github.com/{source-item-id}"
28321,"Plotting Word Frequency","CAVZ0l","GitHub","TAPoR-3-Tools/Tapor-Coding-Tools","https://github.com/{source-item-id}"
41046,"PostgreSQL","bkmFy7","Wikidata","Q192490","https://www.wikidata.org/wiki/{source-item-id}"
46284,"Prism","jinyIc","GitHub","scholarslab/prism","https://github.com/{source-item-id}"
46337,"Pundit","VOFOGx","GitHub","net7/pundit2","https://github.com/{source-item-id}"
46339,"Pycoon","a5PLbJ","GitHub","ironchicken/pycoon","https://github.com/{source-item-id}"
49817," Pygmalion’s code","vShYL3","GitHub","https://github.com/WoPoss-project/Pygmalion","https://github.com/{source-item-id}"
46342,"Python","tt0gGA","GitHub","python","https://github.com/{source-item-id}"
46343,"QGIS","ucI9sJ","GitHub","qgis/","https://github.com/{source-item-id}"
46350,"Qnotero","J2NaBK","GitHub","smathot/qnotero","https://github.com/{source-item-id}"
46365,"Quanteda","r6kNJy","GitHub","quanteda/quanteda","https://github.com/{source-item-id}"
