"id","id.ssh","label","source.label","id.source","label.clean"
40741,"EYPPvF","[MCSQ]: The Multilingual Corpus of Survey Questionnaires",NA,NA,"[MCSQ]: The Multilingual Corpus of Survey Questionnaires"
48436,"lZsyBK","#LancsBox: Lancaster University corpus toolbox",NA,NA,"#LancsBox: Lancaster University corpus toolbox"
36036,"eysS8u","🎵 Music notation engraving library for MEI with MusicXML and Humdrum support and various toolkits (JavaScript, Python): rism-ch/verovio","SSK Zotero Resources","5L64P2MB","🎵 Music notation engraving library for MEI with MusicXML and Humdrum support and various toolkits \(JavaScript, Python\): rism-ch\/verovio"
44360,"SIU1nO","140kit","TAPoR","937","140kit"
36324,"4gDAHv","3DF Zephyr - photogrammetry software - 3d models from photos","SSK Zotero Resources","WQFP6XPS","3DF Zephyr - photogrammetry software - 3d models from photos"
40579,"UcxOmD","3DHOP","SSK Zotero Resources","SG86ZG5J","3DHOP"
48336,"uFIMPQ","3DHOP: 3D Heritage Online Presenter","SSK Zotero Resources","R379NADX","3DHOP: 3D Heritage Online Presenter"
36189,"kAkzuz","3DReshaper \| 3DReshaper","SSK Zotero Resources","PMES8DJW","3DReshaper \\| 3DReshaper"
36213,"9NKBY5","3ds Max \| 3D Modeling, Animation \& Rendering Software","SSK Zotero Resources","5VFZT97E","3ds Max \\| 3D Modeling, Animation \\& Rendering Software"
44361,"zrfCly","3DVIA Virtools","TAPoR","1229","3DVIA Virtools"
44362,"rdwzoM","4th Dimension","TAPoR","783","4th Dimension"
44364,"XsXzlp","80legs","TAPoR","648","80legs"
44366,"uo4gCA","960 Grid System","TAPoR","1454","960 Grid System"
36045,"HRUmqc","A JavaScript library for rendering music notation and guitar tablature.: 0xfe/vexflow","SSK Zotero Resources","44A5IYLX","A JavaScript library for rendering music notation and guitar tablature.: 0xfe\/vexflow"
44394,"2zIseh","A-frame","TAPoR","1598","A-frame"
44448,"WSx0Hx","A.nnotate","TAPoR","1614","A.nnotate"
36528,"qbhnQw","A360 \| Project Collaboration in the Cloud","SSK Zotero Resources","7J6J9IZH","A360 \\| Project Collaboration in the Cloud"
44367,"MXsRM1","Abbot","TAPoR","198","Abbot"
44369,"gpYKo6","ABBYY FineReader","TAPoR","1389","ABBYY FineReader"
44371,"LtXDGc","ABFREQ","TAPoR","424","ABFREQ"
44376,"y2dwph","Academia.edu","TAPoR","1144","Academia.edu"
44377,"lgyrt9","ACERR - The Arts and Culture in Education Research Repository for Ireland",NA,NA,"ACERR - The Arts and Culture in Education Research Repository for Ireland"
44379,"j8MRN1","Active Server Pages (ASP)","TAPoR","784","Active Server Pages \(ASP\)"
44380,"S31g4F","Adlib Archive","TAPoR","781","Adlib Archive"
28724,"KdAfc6","Adobe Acrobat Distiller","TAPoR","782","Adobe Acrobat Distiller"
