tool_id,data_tapor,repository_tapor,url_tapor,name_tapor-api,detail,name,QId,url_image,star_average,_ - tools - _ - attribute_value_ids - attribute_value_ids,_ - attribute_values - _ - id,_ - attribute_values - _ - name
1,"{""id"":1,""user_id"":null,""name"":""List Words - HTML (TAPoRware)"",""detail"":""\u003cp\u003eThis tool lists words in an HTML document, either uploaded by the user or from a web address. List Words works with relatively small texts of under a megabyte in size. It is part of the TAPoRware collection of tools; there are XML and plain text versions available as well.\u003c/p\u003e\u003cp\u003eThis tool’s functionality has been incorporated into Voyant available online at www.voyant-tools.org.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/1.jpg"",""creators_name"":""Geoffrey Rockwell et. al."",""creators_email"":""grockwel@ualberta.ca"",""creators_url"":""http://geoffreyrockwell.com/"",""star_average"":4.0,""url"":"""",""last_updated"":""2020-10-08"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/1-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,,List Words - HTML (TAPoRware),"This tool lists words in an HTML document, either uploaded by the user or from a web address. List Words works with relatively small texts of under a megabyte in size. It is part of the TAPoRware collection of tools; there are XML and plain text versions available as well.This tool’s functionality has been incorporated into Voyant available online at www.voyant-tools.org.",List Words - HTML (TAPoRware),,https://tapor.ca/images/tools/0/1.jpg,4,79,79,Analysis
4,"{""id"":4,""user_id"":1,""name"":""Wordle"",""detail"":""\u003cp\u003eWordle is an online toy for generating \u003ca href=\""http://en.wikipedia.org/wiki/Word_cloud\""\u003eword clouds\u003c/a\u003e using the text you provide.  Text can be submitted by providing an URL or by pasting raw text into an input.  The most frequent words from the text are then used as the source for the resulting visualization, where frequency is used to determine the size of each word.\u003c/p\u003e \u003cp\u003eYou may customize the output by choosing from a variety of display options (layout, font, colours) or use the randomize feature to get a random visualization.  Additionally, there is built-in stop word support for many common languages, and the option to change the word case.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/4.jpg"",""creators_name"":""Jonathan Feinberg"",""creators_email"":""jdf@pobox.com"",""creators_url"":""http://mrfeinberg.com/"",""star_average"":4.0,""url"":""http://www.wordle.net/"",""last_updated"":""2018-10-17"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/4-thumb.jpg"",""rating_count"":2,""recipes"":""""}",,http://www.wordle.net/,Wordle,"Wordle is an online toy for generating word clouds using the text you provide.  Text can be submitted by providing an URL or by pasting raw text into an input.  The most frequent words from the text are then used as the source for the resulting visualization, where frequency is used to determine the size of each word. You may customize the output by choosing from a variety of display options (layout, font, colours) or use the randomize feature to get a random visualization.  Additionally, there is built-in stop word support for many common languages, and the option to change the word case.",Wordle,,https://tapor.ca/images/tools/0/4.jpg,4,4,80,Annotating
,,,,,,,,,,79,81,Capture
5,"{""id"":5,""user_id"":null,""name"":""OrlandoVision (OVis)"",""detail"":""\u003cp\u003eAn application for visualizing a specific collection of authors, and the links or associations between them.  Links are determined by co-occurrence in the Orlando dataset.  The current dataset consists of authors, other people associated with them, and the text entries upon which these associations are based.  The application is designed in such a way that it could be extended to use other datasets as well.\u003cbr\u003e\u003cbr\u003eThe display can be customized in the several ways.  Node colours, shapes and sizes can be altered.  More significantly, the layout of the graph can be chosen from amongst several different algorithms.\u003cbr\u003e\u003cbr\u003eAs the collection is quite large, there are many filtering options available.  In terms of author, the following categories can be specified: gender, author/non-author, and author nationality.  The user can create complex search queries of the authors and the text, and specify a date restriction for the authors' life span.\u003cbr\u003e\u003cbr\u003eEach association in the text has been tagged with one or more semantic attributes, i.e. the type or meaning of the relation between the people.  These tags have been organized into a tree, moving from general to more specific relations.  Each tag in the tree can be checked/unchecked, further filtering the results.\u003cbr\u003e\u003cbr\u003eFinally, a data set and customizations can be saved as a session which can then be loaded at a later time.  In addition, screenshots of the current layout can be saved to an image file.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/5.jpg"",""creators_name"":""The Orlando Project"",""creators_email"":""orlando@ualberta.ca"",""creators_url"":""http://www.ualberta.ca/orlando"",""star_average"":2.0,""url"":""http://www.artsrn.ualberta.ca/orlando/"",""last_updated"":""2018-11-01"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/5-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://www.artsrn.ualberta.ca/orlando/,OrlandoVision (OVis),"An application for visualizing a specific collection of authors, and the links or associations between them.  Links are determined by co-occurrence in the Orlando dataset.  The current dataset consists of authors, other people associated with them, and the text entries upon which these associations are based.  The application is designed in such a way that it could be extended to use other datasets as well.The display can be customized in the several ways.  Node colours, shapes and sizes can be altered.  More significantly, the layout of the graph can be chosen from amongst several different algorithms.As the collection is quite large, there are many filtering options available.  In terms of author, the following categories can be specified: gender, author/non-author, and author nationality.  The user can create complex search queries of the authors and the text, and specify a date restriction for the authors' life span.Each association in the text has been tagged with one or more semantic attributes, i.e. the type or meaning of the relation between the people.  These tags have been organized into a tree, moving from general to more specific relations.  Each tag in the tree can be checked/unchecked, further filtering the results.Finally, a data set and customizations can be saved as a session which can then be loaded at a later time.  In addition, screenshots of the current layout can be saved to an image file.",OrlandoVision (OVis),,https://tapor.ca/images/tools/0/5.jpg,2,79,61,Collaboration
,,,,,,,,,,4,82,Content Analysis
8,"{""id"":8,""user_id"":null,""name"":""Voyant Cirrus"",""detail"":""\u003cp\u003eCirrus is a visualization tool that displays a word cloud relating to the frequency of words appearing in one or more documents. One can click on any word appearing in the cloud to obtain detailed information about its relativity.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/8.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/Cirrus/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/8-thumb.jpg"",""rating_count"":2,""recipes"":""""}",,http://voyant-tools.org/tool/Cirrus/,Voyant Cirrus,Cirrus is a visualization tool that displays a word cloud relating to the frequency of words appearing in one or more documents. One can click on any word appearing in the cloud to obtain detailed information about its relativity.,Voyant Cirrus,,https://tapor.ca/images/tools/0/8.jpg,5,4,83,Creation
,,,,,,,,,,79,147,Discovering
9,"{""id"":9,""user_id"":null,""name"":""Voyant Links"",""detail"":""\u003cp\u003eLinks finds collocates for words and displays links between them using a force directed graph. It shows term frequencies in proximity to keyword. It is a visualization and shows a web of terms.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/9.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":3.0,""url"":"""",""last_updated"":""2018-09-18"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/9-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,,Voyant Links,Links finds collocates for words and displays links between them using a force directed graph. It shows term frequencies in proximity to keyword. It is a visualization and shows a web of terms.,Voyant Links,,https://tapor.ca/images/tools/0/9.jpg,3,4,84,Dissemination
,,,,,,,,,,79,85,Enrichment
10,"{""id"":10,""user_id"":null,""name"":""Voyant Bubblelines"",""detail"":""\u003cp\u003eBubblelines is a visualization tool that helps to understand patterns of word repetition in one or more documents. Each document is represented as a horizontal line and each seach term is represented as a bubble – the bubble represents the frequency of the term in the corresponding segment of text (the text is divided into segments of equal length).\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/10.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/Bubblelines/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/10-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/Bubblelines/,Voyant Bubblelines,Bubblelines is a visualization tool that helps to understand patterns of word repetition in one or more documents. Each document is represented as a horizontal line and each seach term is represented as a bubble – the bubble represents the frequency of the term in the corresponding segment of text (the text is divided into segments of equal length).,Voyant Bubblelines,,https://tapor.ca/images/tools/0/10.jpg,5,4,86,Gathering
