"id.tapor","label","description","id.wikidata","label.clean"
937,"140kit","140kit provides a management layer for tweet collection and analysis. Raw data cannot be passed through to the users, but any analytical process can be run across your dataset, and the data is held  for as long as the user wants. When new analytical processes are created, they can be run on existing sets of data. 140kit does not claim any control of the analysis, however it retains ownership of the data collected. Current limits:User: 20,000 Tweets per Dataset or until Dataset time elapsesAcademic User: 500,000 Tweets per Dataset or until Dataset time elapses",NA,"140kit"
783,"4th Dimension","4th Dimension is a graphic environment for developing database-driven single-user, client/server and Web applications.

4th Dimension Standard Edition is an excellent tool to help new database developers rapidly build professional single-user, client/server and Web applications on both the Windows and Mac platforms. It offers:

- An affordable price 
- Many ready-to-use application templates
- Unlimited deployment of single-user applications in interpreted mode
- Projects started with 4th Dimension Standard Edition can be continued with 4th Dimension Developer Edition with 100% compatibility",NA,"4th Dimension"
648,"80legs","80legs is a web crawling service. You need to get an account and then you can create custom crawls that run in the cloud. They also let you filter their Giant Web Crawl and provide clean data about the web.","Q4644428","80legs"
1454,"960 Grid System","960 Grid System is a CSS template that comes with corresponding Acorn, Fireworks, Flash, InDesign, GIMP, Inkscape, Illustrator, OmniGraffle, Photoshop, QuarkXPress, Visio, Exp Design, and printable templates to facilitate different stages of the web design process.","Q5653134","960 Grid System"
1598,"A-Frame","a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js.","Q28135597","A-Frame"
1614,"A.nnotate","A.nnotate is the flagship product of Textensor Limited which was incorporated in Edinburgh, Scotland in 2005.Today A.nnotate is used online by thousands of individuals and groups who need to store or share comments on documents, web pages or images.","Q4648761","A.nnotate"
1704,"Aamozish","Designed by noted Urdu academics and contemporary poets, Aamozish is an Urdu learning platform, created by the Rekhta Foundation.",NA,"Aamozish"
198,"Abbot","Abbot is a free tool for converting multiple XML texts with multiple markup schema into a common interoperable file, offered by the MONK (Metadata Offer New Knowledge) Project. It can also read an XML schema file and output procedures, and use them to convert other files into valid XML in alignment with the target schema. While Abbot focusses on TEI, it has been designed to flexibly accomodate other standards and can transform texts into any XML schema required.",NA,"Abbot"
424,"ABFREQ","ABFREQ was a tool for identifying key words within a text developed in the 1980s. It identified key words by comparing thier frequency within the user's text to the frequency of the same words in a control corpus.",NA,"ABFREQ"
1144,"academia.edu","Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments.","Q2777905","academia.edu"
