"term","variant"
#LancsBox,#LancsBox
Academy CRIS,Academy CRIS
AI,AI
Anaconda,Anaconda
ANNIS,ANNIS
Annotation Studio,Annotation Studio
AntConc,AntConc
API,API
ArcGIS,ArcGIS
ATHEN,ATHEN
Bash,Bash
Bash,bash
BAZ-GA Oxygen-Framework,BAZ-GA Oxygen-Framework
Beaconizer,Beaconizer
Beethovens Werkstatt Tools,Beethovens Werkstatt Tools
BERT,BERT
CARE,CARE
Carto,Carto
CATMA,CATMA
CATview,CATview
CLARIAH,CLARIAH
CLARIN,CLARIN
CLI,CLI
CMDI-Maker,CMDI-Maker
CollateX,CollateX
CorA,CorA
CorpusExplorer,CorpusExplorer
CorrespSearch,CorrespSearch
CQPweb,CQPweb
CSS,CSS
CSV,CSV
CSV,csv
CSV,TSV
CSV,tsv
CTE,Classical Text Editor
CTE,CTE
CTS,CTS
Cultural Heritage Framework,Cultural Heritage Framework
CWRC-Writer,CWRC-Writer
DARIAH Topics Explorer,DARIAH Topics Explorer
DARIAH,DARIAH
DiaCollo,DiaCollo
digiCULT,digiCULT
digiCULT.web,digiCULT.web
digiCULT.xTree,digiCULT.xTree
Digital Catalogue Raisonné,Digital Catalogue Raisonné
Docker,Docker
DOI,DOI
Drupal,Drupal
DTA::CAB,DTA::CAB
DTD,DTD
Dualist,Dualist
Duraark,Duraark
Easy Linavis,Easy Linavis
ecdosis,ecdosis
ediarum,ediarum
Edirom Editor,Edirom Editor
Edirom Online,Edirom Online
Edirom,Edirom
EFES,EFES
eHinman,eHinman
ekdosis,ekdosis
eLaborate,eLaborate
ELAN,ELAN
eXGraphs,eXGraphs
EXMARaLDA,EXMARaLDA
Extranet,Extranet
Ezlinavis,Ezlinavis
FAIR,FAIR
FLEx,FLEx
FreeLing,FreeLing
FromThePage,FromThePage
FuD,FuD
GAMS,GAMS
GATE,GATE
Gensim,Gensim
GeoJSON,GeoJSON
Gephi,Gephi
GeTa,GeTa
ggplot2,ggplot
ggplot2,ggplot2
GIS,geographic information system
GIS,GIS
git,git
GitHub,GitHub
GitHub,github
GitLab,GitLab
GitLab,gitlab
GRACE,GRACE
GROBID,GROBID
GUI,GUI
heiANNO,heiANNO
HeidelTime,HeidelTime
heiEDITIONS,heiEDITIONS
heiMPT,heiMPT
Hoftheater-Tool,Hoftheater-Tool
HTR,HTR
HTTP,HTTP
HTTPS,HTTPS
iART,iART
IEEE 802.11,IEEE 802.11
IIIF Image Server,IIIF Image Server
IIIF,IIIF
Image Markup Tool,Image Markup Tool
INCEpTION,INCEpTION
IncipitSearch,IncipitSearch
InCritApp,InCritApp
Internet,Internet
Internet,internet
Intranet,Intranet
IP,IP
Isilex,Isilex
Java,Java
