"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q4644428","648","XsXzlp","Q217602","analyzing"
"Q4644428","648","XsXzlp","Q12772819","discovering"
"Q5653134","1454","uo4gCA","Q123819227","creating"
"Q5653134","1454","uo4gCA","Q386275","webDevelopment"
"Q1416880","1389","gpYKo6","Q123819225","capturing"
"Q1416880","1389","gpYKo6","Q59155052","scanning"
"Q1416880","1389","gpYKo6","Q207714","transcribing"
"Q1416880","1389","gpYKo6","Q123783455","dataRecognition"
"Q2777905","1144","y2dwph","Q123819225","capturing"
"Q2777905","1144","y2dwph","Q1145523","collaborating"
"Q2777905","1144","y2dwph","Q12772819","discovering"
"Q2777905","1144","y2dwph","Q3972943","publishing"
"Q2777905","1144","y2dwph","Q123751128","gathering"
"Q2777905","1144","y2dwph","Q11024","communicating"
"Q2777905","1144","y2dwph","Q123819226","disseminating"
"Q2777905","1144","y2dwph","Q459221","sharing"
"Q178817","784","j8MRN1","Q3972943","publishing"
"Q178817","784","j8MRN1","Q386275","webDevelopment"
"Q207902","782","KdAfc6","Q123750937","enriching"
"Q1068393","1214","Tpi8KE","Q12713609","imaging"
"Q1068393","1214","Tpi8KE","Q123783459","designing"
"Q192324","1250","6ssOMC","Q386275","webDevelopment"
"Q192324","1250","6ssOMC","Q123783459","designing"
"Q215016","1215","usExJA","Q123783459","designing"
"Q218924","1216","aeQ2f6","Q123783459","designing"
"Q105848625","940","RY4LgT","Q6504956","dataVisualization"
"Q105848625","940","RY4LgT","Q95832426","visualAnalysis"
"Q105848625","940","RY4LgT","Q1145523","collaborating"
"Q105848625","940","RY4LgT","Q857525","annotating"
"Q105848625","940","RY4LgT","Q459221","sharing"
"Q28135597","1598","2zIseh","Q123819227","creating"
"Q28135597","1598","2zIseh","Q123750937","enriching"
"Q28135597","1598","2zIseh","Q123819226","disseminating"
"Q28135597","1598","2zIseh","Q12713609","imaging"
"Q28135597","1598","2zIseh","Q386275","webDevelopment"
"Q946976","1635","bbGlRd","Q123819227","creating"
"Q946976","1635","bbGlRd","Q1145523","collaborating"
"Q946976","1635","bbGlRd","Q10418049","archiving"
"Q946976","1635","bbGlRd","Q123783460","commenting"
"Q946976","1635","bbGlRd","Q36993249","organizing"
"Q946976","1635","bbGlRd","Q459221","sharing"
"Q946976","1635","bbGlRd","Q123819222","storing"
"Q188436","487","YKv47J","Q80006","programming"
"Q188436","487","YKv47J","Q123819227","creating"
"Q73883753","1633","4UtwMD","Q123819227","creating"
"Q73883753","1633","4UtwMD","Q1116876","modeling"
"Q73883753","1633","4UtwMD","Q6504956","dataVisualization"
"Q73883753","1633","4UtwMD","Q217602","analyzing"
"Q73883753","1633","4UtwMD","Q95832426","visualAnalysis"
"Q73883753","1633","4UtwMD","Q653137","contentAnalysis"
"Q73883753","1633","4UtwMD","Q1145523","collaborating"
"Q73883753","1633","4UtwMD","Q1172378","dataCleansing"
"Q73883753","1633","4UtwMD","Q15756478","interpreting"
"Q73883753","1633","4UtwMD","Q123783455","dataRecognition"
"Q110644161","1531","9XIqow","Q217602","analyzing"
"Q110644161","1531","9XIqow","Q653137","contentAnalysis"
"Q4751088","1486","qO4IIL","Q6504956","dataVisualization"
"Q4751088","1486","qO4IIL","Q217602","analyzing"
"Q4751088","1486","qO4IIL","Q95832426","visualAnalysis"
"Q557318","793","DP69ob","Q123750937","enriching"
"Q4648761","1614","WSx0Hx","Q1145523","collaborating"
"Q4648761","1614","WSx0Hx","Q857525","annotating"
"Q4648761","1614","WSx0Hx","Q123783460","commenting"
"Q4648761","1614","WSx0Hx","Q123819222","storing"
"Q104891173","1292","e2uRBt","Q1783551","converting"
"Q104891173","1292","e2uRBt","Q857525","annotating"
"Q104891173","1292","e2uRBt","Q207714","transcribing"
"Q105229735","828","98ulMr","Q857525","annotating"
"Q105229735","828","98ulMr","Q15756478","interpreting"
"Q110088633","934","k2AvKt","Q857525","annotating"
"Q104878038","148","0KBK9n","Q12772819","discovering"
"Q104878038","148","0KBK9n","Q217602","analyzing"
"Q104878038","148","0KBK9n","Q123751127","structuralAnalysis"
"Q104878038","148","0KBK9n","Q839018","concordance"
"Q7095836","120","rbo6MV","Q217602","analyzing"
"Q7095836","120","rbo6MV","Q653137","contentAnalysis"
"Q46794","1249","KjxjFp","Q36993249","organizing"
"Q46794","1249","KjxjFp","Q632897","preserving"
"Q46794","1249","KjxjFp","Q189439","versioning"
"Q1539155","121","Qbt4XV","Q217602","analyzing"
