"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"1","SIU1nO","140kit","937",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"2","SIU1nO","140kit","937",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"3","SIU1nO","140kit","937",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"4","SIU1nO","140kit","937",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"5","SIU1nO","140kit","937",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"6","4gDAHv","3DF Zephyr - photogrammetry software - 3d models from photos",NA,NA,NA,NA
"7","UcxOmD","3DHOP",NA,NA,NA,NA
"8","uFIMPQ","3DHOP: 3D Heritage Online Presenter",NA,NA,NA,NA
"9","kAkzuz","3DReshaper \| 3DReshaper",NA,NA,NA,NA
"10","9NKBY5","3ds Max \| 3D Modeling, Animation \& Rendering Software",NA,NA,NA,NA
"11","zrfCly","3DVIA Virtools","1229","Q3560836",NA,NA
"12","rdwzoM","4th Dimension","783",NA,"Q80006","https://vocabs.dariah.eu/tadirah/programming"
"13","rdwzoM","4th Dimension","783",NA,"Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"14","rdwzoM","4th Dimension","783",NA,"Q110484020","https://vocabs.dariah.eu/tadirah/writing"
"15","XsXzlp","80legs","648","Q4644428","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"16","XsXzlp","80legs","648","Q4644428","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"17","uo4gCA","960 Grid System","1454","Q5653134","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"18","uo4gCA","960 Grid System","1454","Q5653134","Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"19","qbhnQw","A360 \| Project Collaboration in the Cloud",NA,NA,NA,NA
"20","MXsRM1","Abbot","198",NA,"Q65757353","https://vocabs.dariah.eu/tadirah/transformation"
"21","gpYKo6","ABBYY FineReader","1389","Q1416880","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"22","gpYKo6","ABBYY FineReader","1389","Q1416880","Q59155052","https://vocabs.dariah.eu/tadirah/scanning"
"23","gpYKo6","ABBYY FineReader","1389","Q1416880","Q207714","https://vocabs.dariah.eu/tadirah/transcribing"
"24","gpYKo6","ABBYY FineReader","1389","Q1416880","Q123783455","https://vocabs.dariah.eu/tadirah/dataRecognition"
"25","LtXDGc","ABFREQ","424",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"26","y2dwph","Academia.edu","1144","Q2777905","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"27","y2dwph","Academia.edu","1144","Q2777905","Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"28","y2dwph","Academia.edu","1144","Q2777905","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
