ID,Title,Description,Requirements,Cost,Link,Complexity,Type,"Linked Agent",Related
1394,Unsplash,"Explore this repository of free images for use in your work.",Browser,Free,https://unsplash.com/,Basic,"Image Editing|Repository",,"Pixabay, Adobe Stock - Free, Pexels, StockSnap.io"
1395,"Free Music Archive","Explore this repository of free audio for use in your work.",Browser,Free,https://freemusicarchive.org/,Basic,"Audio Editing|Repository",,"Soundbible: Royalty Free Sounds, ccMixter, Freesound, Pixabay"
1406,Pixabay,"Find and share openly-licensed multimedia.",Browser,Free,https://pixabay.com/,Basic,"Audio Editing|Image Editing|Repository",,"Free Music Archive, Soundbible: Royalty Free Sounds, ccMixter, Freesound, Unsplash"
1408,Monumental,"Explore built monuments and their heritage.",Browser,Free,https://tools.wmflabs.org/monumental/#/,Basic,Awesome,,
1413,Timemapper,"Create timelines and maps from Google Sheets.",Browser,"Free|Open Source",https://timemapper.okfnlabs.org/,Basic,Mapping,"Other: Google",
1419,"3D Warehouse","Find and download 3D model files for SketchUp or share your own.",Browser,Free,"https://3dwarehouse.sketchup.com/?hl=en  x",Basic,"Making|Virtual Reality (VR) and 3D",,SketchUp
1428,"Open Attribution Builder","Make an attribution statement for your work.",Browser,Free,https://www.openwa.org/attrib-builder/,Basic,Licensing,,
1432,"Automate the Boring Stuff with Python","Advertised as ""practical programming for total beginners""","Linux, Mac, Windows",Free,https://automatetheboringstuff.com/,Basic,Learning|Programming,"Other: Python",
1435,TaPOR,"Explore the Text Analysis Portal for Research to learn more about tools available for Text Analysis for multiple levels of learner and researcher.",Browser,Free,http://tapor.ca/home,Basic,"Directory|Text Analysis",,
1436,"The Programming Historian","Learn skills and technologies related to digital humanities through the Programming Historian.",Browser,Free,https://programminghistorian.org/,Basic,"Digital Humanities|Learning",,
1437,"The Digital Humanities Literacy Guidebook","Get started with the Digital Humanities using this web-based handbook for the field.",Browser,Free,https://cmu-lib.github.io/dhlg/,Basic,"Digital Humanities|Learning",,
1438,Coursera,"Explore a wide range of massive open online courses and certifications available for multiple digital tools.",Browser,"Free|One-time cost",https://www.coursera.org/,Basic,Learning,,
1439,W3Schools,"Learn programming languges, markup languages, and the basic of website development.",Browser,Free,https://www.w3schools.com/,Basic,Learning|Programming,,
